<<<<<<< HEAD
date,/m/01cpyy
2020-03-11,26,False
2020-03-12,50,False
2020-03-13,65,False
2020-03-14,67,False
2020-03-15,68,False
2020-03-16,65,False
2020-03-17,59,False
2020-03-18,100,False
2020-03-19,51,False
2020-03-20,51,False
2020-03-21,49,False
2020-03-22,50,False
2020-03-23,40,False
2020-03-24,37,False
2020-03-25,36,False
2020-03-26,32,False
2020-03-27,29,False
2020-03-28,31,False
2020-03-29,31,False
2020-03-30,20,False
2020-03-31,21,False
2020-04-01,21,False
2020-04-02,18,False
2020-04-03,30,False
2020-04-04,33,False
2020-04-05,30,False
2020-04-06,14,False
2020-04-07,14,False
2020-04-08,15,False
2020-04-09,16,False
2020-04-10,12,False
2020-04-11,14,False
2020-04-12,12,False
2020-04-13,13,False
2020-04-14,13,False
2020-04-15,11,False
2020-04-16,12,False
2020-04-17,13,False
2020-04-18,11,False
2020-04-19,14,False
2020-04-20,12,False
2020-04-21,9,False
2020-04-22,9,False
2020-04-23,19,False
2020-04-24,10,False
2020-04-25,8,False
2020-04-26,7,False
2020-04-27,8,False
2020-04-28,11,False
2020-04-29,10,False
2020-04-30,10,False
2020-05-01,8,False
2020-05-02,8,False
2020-05-03,7,False
2020-05-04,8,False
2020-05-05,7,False
2020-05-06,8,False
2020-05-07,7,False
2020-05-08,8,False
2020-05-09,8,False
2020-05-10,9,False
2020-05-11,6,False
2020-05-12,7,False
2020-05-13,6,False
2020-05-14,6,False
2020-05-15,8,False
2020-05-16,8,False
2020-05-17,8,False
2020-05-18,6,False
2020-05-19,5,False
2020-05-20,5,False
2020-05-21,7,False
2020-05-22,6,False
2020-05-23,5,False
2020-05-24,5,False
2020-05-25,6,False
2020-05-26,5,False
2020-05-27,5,False
2020-05-28,5,False
2020-05-29,5,False
2020-05-30,6,False
2020-05-31,5,False
2020-06-01,3,False
2020-06-02,4,False
2020-06-03,3,False
2020-06-04,4,False
2020-06-05,3,False
2020-06-06,2,False
2020-06-07,4,False
2020-06-08,3,False
2020-06-09,2,False
2020-06-10,4,False
2020-06-11,2,False
2020-06-12,2,False
2020-06-13,2,False
2020-06-14,4,False
2020-06-15,3,False
2020-06-16,2,False
2020-06-17,2,False
2020-06-18,2,False
2020-06-19,2,False
2020-06-20,3,False
2020-06-21,2,False
2020-06-22,4,False
2020-06-23,3,False
2020-06-24,3,False
2020-06-25,2,False
2020-06-26,3,False
2020-06-27,3,False
2020-06-28,3,False
2020-06-29,3,False
2020-06-30,3,False
2020-07-01,3,False
2020-07-02,3,False
2020-07-03,2,False
2020-07-04,3,False
2020-07-05,3,False
2020-07-06,3,False
2020-07-07,4,False
2020-07-08,4,False
2020-07-09,4,False
2020-07-10,4,False
2020-07-11,4,False
2020-07-12,5,False
2020-07-13,3,False
2020-07-14,4,False
2020-07-15,3,False
2020-07-16,3,False
2020-07-17,3,False
2020-07-18,6,False
2020-07-19,4,False
2020-07-20,4,False
2020-07-21,5,False
2020-07-22,3,False
2020-07-23,3,False
2020-07-24,4,False
2020-07-25,4,False
2020-07-26,4,False
2020-07-27,4,False
2020-07-28,3,False
2020-07-29,2,False
2020-07-30,3,False
2020-07-31,3,False
2020-08-01,3,False
2020-08-02,3,False
2020-08-03,3,False
2020-08-04,4,False
2020-08-05,3,False
2020-08-06,3,False
2020-08-07,3,False
2020-08-08,3,False
2020-08-09,3,False
2020-08-10,2,False
2020-08-11,3,False
2020-08-12,2,False
2020-08-13,3,False
2020-08-14,4,False
2020-08-15,3,False
2020-08-16,3,False
2020-08-17,3,False
2020-08-18,3,False
2020-08-19,3,False
2020-08-20,2,False
2020-08-21,3,False
2020-08-22,3,False
2020-08-23,3,False
2020-08-24,2,False
2020-08-25,3,False
2020-08-26,2,False
2020-08-27,4,False
2020-08-28,3,False
2020-08-29,3,False
2020-08-30,2,False
2020-08-31,5,False
2020-09-01,2,False
2020-09-02,3,False
2020-09-03,3,False
2020-09-04,3,False
2020-09-05,2,False
2020-09-06,3,False
2020-09-07,4,False
2020-09-08,2,False
2020-09-09,3,False
2020-09-10,4,False
2020-09-11,5,False
2020-09-12,4,False
2020-09-13,4,False
2020-09-14,3,False
2020-09-15,3,False
2020-09-16,3,False
2020-09-17,3,False
2020-09-18,4,False
2020-09-19,3,False
2020-09-20,2,False
2020-09-21,4,False
2020-09-22,3,False
2020-09-23,3,False
2020-09-24,3,False
2020-09-25,4,False
2020-09-26,2,False
2020-09-27,4,False
2020-09-28,2,False
2020-09-29,3,False
2020-09-30,3,False
2020-10-01,2,False
2020-10-02,2,False
2020-10-03,1,False
2020-10-04,3,False
2020-10-05,2,False
2020-10-06,2,False
2020-10-07,3,False
2020-10-08,1,False
2020-10-09,1,False
2020-10-10,3,False
2020-10-11,2,False
2020-10-12,3,False
2020-10-13,3,False
2020-10-14,3,False
2020-10-15,3,False
2020-10-16,2,False
2020-10-17,2,False
>>>>>>> master
