date,/m/01b_21_0,/m/01b_21,batch_id
2020-05-22,11.0,11.0,1
2020-05-23,12.0,12.0,1
2020-05-24,11.0,11.0,1
2020-05-25,18.0,18.0,1
2020-05-26,15.0,15.0,1
2020-05-27,17.0,17.0,1
2020-05-28,18.0,18.0,1
2020-05-29,12.0,12.0,1
2020-05-30,17.0,17.0,1
2020-05-31,12.0,12.0,1
2020-06-01,17.0,17.0,1
2020-06-02,15.0,15.0,1
2020-06-03,16.0,16.0,1
2020-06-04,17.0,17.0,1
2020-06-05,15.0,15.0,1
2020-06-06,14.0,14.0,1
2020-06-07,17.0,17.0,1
2020-06-08,16.0,16.0,1
2020-06-09,16.0,16.0,1
2020-06-10,17.0,17.0,1
2020-06-11,15.0,15.0,1
2020-06-12,13.0,13.0,1
2020-06-13,13.0,13.0,1
2020-06-14,16.0,16.0,1
2020-06-15,18.0,18.0,1
2020-06-16,14.0,14.0,1
2020-06-17,13.0,13.0,1
2020-06-18,11.0,11.0,1
2020-06-19,18.0,18.0,1
2020-06-20,14.0,14.0,1
2020-06-21,11.0,11.0,1
2020-06-22,11.0,11.0,1
2020-06-23,18.0,18.0,1
2020-06-24,20.0,20.0,1
2020-06-25,12.0,12.0,1
2020-06-26,12.0,12.0,1
2020-06-27,11.0,11.0,1
2020-06-28,16.0,16.0,1
2020-06-29,11.0,11.0,1
2020-06-30,13.0,13.0,1
2020-07-01,15.0,15.0,1
2020-07-02,13.0,13.0,1
2020-07-03,15.0,15.0,1
2020-07-04,15.0,15.0,1
2020-07-05,16.0,16.0,1
2020-07-06,17.0,17.0,1
2020-07-07,12.0,12.0,1
2020-07-08,12.0,12.0,1
2020-07-09,14.0,14.0,1
2020-07-10,16.0,16.0,1
2020-07-11,17.0,17.0,1
2020-07-12,17.0,17.0,1
2020-07-13,21.0,21.0,1
2020-07-14,21.0,21.0,1
2020-07-15,20.0,20.0,1
2020-07-16,19.0,19.0,1
2020-07-17,24.0,24.0,1
2020-07-18,18.0,18.0,1
2020-07-19,20.0,20.0,1
2020-07-20,21.0,21.0,1
2020-07-21,19.0,19.0,1
2020-07-22,19.0,19.0,1
2020-07-23,16.0,16.0,1
2020-07-24,22.0,22.0,1
2020-07-25,18.0,18.0,1
2020-07-26,17.0,17.0,1
2020-07-27,15.0,15.0,1
2020-07-28,18.0,18.0,1
2020-07-29,15.0,15.0,1
2020-07-30,16.0,16.0,1
2020-07-31,17.0,17.0,1
2020-08-01,17.0,17.0,1
2020-08-02,19.0,19.0,1
2020-08-03,17.0,17.0,1
2020-08-04,24.0,24.0,1
2020-08-05,18.0,18.0,1
2020-08-06,17.0,17.0,1
2020-08-07,20.0,20.0,1
2020-08-08,14.0,14.0,1
2020-08-09,17.0,17.0,1
2020-08-10,18.0,18.0,1
2020-08-11,17.0,17.0,1
2020-08-12,14.0,14.0,1
2020-08-13,14.0,14.0,1
2020-08-14,15.0,15.0,1
2020-08-15,12.0,12.0,1
2020-08-16,22.0,22.0,1
2020-08-17,16.0,16.0,1
2020-08-18,17.0,17.0,1
2020-08-19,21.0,21.0,1
2020-08-20,25.0,25.0,1
2020-08-21,16.0,16.0,1
2020-08-22,20.0,20.0,1
2020-08-23,21.0,21.0,1
2020-08-24,21.0,21.0,1
2020-08-25,23.0,23.0,1
2020-08-26,25.0,25.0,1
2020-08-27,14.0,14.0,1
2020-08-28,25.0,25.0,1
2020-08-29,26.0,26.0,1
2020-08-30,28.0,28.0,1
2020-08-31,26.0,26.0,1
2020-09-01,17.0,17.0,1
2020-09-02,29.0,29.0,1
2020-09-03,27.0,27.0,1
2020-09-04,18.0,18.0,1
2020-09-05,25.0,25.0,1
2020-09-06,27.0,27.0,1
2020-09-07,28.0,28.0,1
2020-09-08,19.0,19.0,1
2020-09-09,28.0,28.0,1
2020-09-10,27.0,27.0,1
2020-09-11,33.0,33.0,1
2020-09-12,24.0,24.0,1
2020-09-13,25.0,25.0,1
2020-09-14,30.0,30.0,1
2020-09-15,25.0,25.0,1
2020-09-16,23.0,23.0,1
2020-09-17,26.0,26.0,1
2020-09-18,22.0,22.0,1
2020-09-19,26.0,26.0,1
2020-09-20,37.0,37.0,1
2020-09-21,29.0,29.0,1
2020-09-22,28.0,28.0,1
2020-09-23,26.0,26.0,1
2020-09-24,27.0,27.0,1
2020-09-25,21.0,21.0,1
2020-09-26,27.0,27.0,1
2020-09-27,27.0,27.0,1
2020-09-28,25.0,25.0,1
2020-09-29,24.0,24.0,1
2020-09-30,20.0,20.0,1
2020-10-01,22.0,22.0,1
2020-10-02,21.0,21.0,1
2020-10-03,28.0,28.0,1
2020-10-04,28.0,28.0,1
2020-10-05,25.0,25.0,1
2020-10-06,33.0,33.0,1
2020-10-07,25.0,25.0,1
2020-10-08,33.0,33.0,1
2020-10-09,30.0,30.0,1
2020-10-10,33.0,33.0,1
2020-10-11,36.0,36.0,1
2020-10-12,33.0,33.0,1
2020-10-13,35.0,35.0,1
2020-10-14,30.0,30.0,1
2020-10-15,21.0,21.0,1
2020-10-16,25.0,25.0,1
2020-10-17,24.0,24.0,1
2020-10-18,35.0,35.0,1
2020-10-19,36.0,36.0,1
2020-10-20,36.0,36.0,1
2020-10-21,32.0,32.0,1
2020-10-22,31.0,31.0,1
2020-10-23,31.0,31.0,1
2020-10-24,33.0,33.0,1
2020-10-25,22.0,22.0,1
2020-10-26,29.0,29.0,1
2020-10-27,32.0,32.0,1
2020-09-28,55.0,55.0,2
2020-09-29,73.0,73.0,2
2020-09-30,70.0,70.0,2
2020-10-01,59.0,59.0,2
2020-10-02,57.0,57.0,2
2020-10-03,79.0,79.0,2
2020-10-04,76.0,76.0,2
2020-10-05,81.0,81.0,2
2020-10-06,85.0,85.0,2
2020-10-07,70.0,70.0,2
2020-10-08,79.0,79.0,2
2020-10-09,82.0,82.0,2
2020-10-10,96.0,96.0,2
2020-10-11,72.0,72.0,2
2020-10-12,81.0,81.0,2
2020-10-13,99.0,99.0,2
2020-10-14,73.0,73.0,2
2020-10-15,70.0,70.0,2
2020-10-16,77.0,77.0,2
2020-10-17,67.0,67.0,2
2020-10-18,92.0,92.0,2
2020-10-19,77.0,77.0,2
2020-10-20,85.0,85.0,2
2020-10-21,87.0,87.0,2
2020-10-22,74.0,74.0,2
2020-10-23,70.0,70.0,2
2020-10-24,94.0,94.0,2
2020-10-25,78.0,78.0,2
2020-10-26,83.0,83.0,2
2020-10-27,91.0,91.0,2
2020-10-28,71.0,71.0,2
2020-10-29,78.0,78.0,2
2020-10-30,72.0,72.0,2
2020-10-31,83.0,83.0,2
2020-11-01,87.0,87.0,2
2020-11-02,95.0,95.0,2
2020-11-03,79.0,79.0,2
2020-11-04,87.0,87.0,2
2020-11-05,60.0,60.0,2
2020-11-06,69.0,69.0,2
2020-11-07,74.0,74.0,2
2020-11-08,89.0,89.0,2
2020-11-09,100.0,100.0,2
2020-11-10,61.0,61.0,2
2020-11-11,85.0,85.0,2
2020-11-12,69.0,69.0,2
2020-11-13,72.0,72.0,2
2020-11-14,93.0,93.0,2
2020-11-15,66.0,66.0,2
2020-11-16,88.0,88.0,2
2020-11-17,68.0,68.0,2
2020-11-18,75.0,75.0,2
2020-11-19,76.0,76.0,2
2020-11-20,62.0,62.0,2
2020-11-21,58.0,58.0,2
2020-11-22,62.0,62.0,2
2020-11-23,76.0,76.0,2
2020-11-24,81.0,81.0,2
2020-11-25,66.0,66.0,2
2020-11-26,67.0,67.0,2
2020-11-27,60.0,60.0,2
2020-11-28,76.0,76.0,2
2020-11-29,73.0,73.0,2
2020-11-30,61.0,61.0,2
2020-12-01,78.0,78.0,2
2020-12-02,66.0,66.0,2
2020-12-03,73.0,73.0,2
2020-12-04,49.0,49.0,2
2020-12-05,72.0,72.0,2
2020-12-06,98.0,98.0,2
2020-12-07,72.0,72.0,2
2020-12-08,58.0,58.0,2
2020-12-09,81.0,81.0,2
2020-12-10,76.0,76.0,2
2020-12-11,67.0,67.0,2
2020-12-12,65.0,65.0,2
2020-12-13,73.0,73.0,2
2020-12-14,83.0,83.0,2
2020-12-15,84.0,84.0,2
2020-12-16,73.0,73.0,2
2020-12-17,79.0,79.0,2
2020-12-18,71.0,71.0,2
2020-12-19,70.0,70.0,2
2020-12-20,78.0,78.0,2
2020-12-21,78.0,78.0,2
2020-12-22,96.0,96.0,2
2020-12-23,95.0,95.0,2
2020-12-24,61.0,61.0,2
2020-12-25,84.0,84.0,2
2020-12-26,87.0,87.0,2
2020-12-27,65.0,65.0,2
2020-12-28,79.0,79.0,2
2020-12-29,70.0,70.0,2
2020-12-30,46.0,46.0,2
2020-12-31,59.0,59.0,2
2021-01-01,70.0,70.0,2
2021-01-02,62.0,62.0,2
2021-01-03,63.0,63.0,2
2021-01-04,71.0,71.0,2
2021-01-05,59.0,59.0,2
2021-01-06,65.0,65.0,2
2021-01-07,43.0,43.0,2
2021-01-08,59.0,59.0,2
2021-01-09,56.0,56.0,2
2021-01-10,34.0,34.0,2
2021-01-11,44.0,44.0,2
2021-01-12,28.0,28.0,2
2021-01-13,44.0,44.0,2
2021-01-14,49.0,49.0,2
2021-01-15,48.0,48.0,2
2021-01-16,46.0,46.0,2
2021-01-17,37.0,37.0,2
2021-01-18,45.0,45.0,2
2021-01-19,56.0,56.0,2
2021-01-20,56.0,56.0,2
2021-01-21,50.0,50.0,2
2021-01-22,46.0,46.0,2
2021-01-23,56.0,56.0,2
2021-01-24,48.0,48.0,2
2021-01-25,40.0,40.0,2
2021-01-26,53.0,53.0,2
2021-01-27,33.0,33.0,2
2021-01-28,37.0,37.0,2
2021-01-29,48.0,48.0,2
2021-01-30,47.0,47.0,2
2021-01-31,41.0,41.0,2
2021-02-01,40.0,40.0,2
2021-02-02,46.0,46.0,2
2021-02-03,40.0,40.0,2
2021-02-04,38.0,38.0,2
2021-02-05,25.0,25.0,2
2021-02-06,54.0,54.0,2
2021-02-07,39.0,39.0,2
2021-02-08,33.0,33.0,2
2021-02-09,50.0,50.0,2
2021-02-10,37.0,37.0,2
2021-02-11,56.0,56.0,2
2021-02-12,31.0,31.0,2
2021-02-13,48.0,48.0,2
2021-02-14,39.0,39.0,2
2021-02-15,52.0,52.0,2
2021-02-16,43.0,43.0,2
2021-02-17,41.0,41.0,2
2021-02-18,54.0,54.0,2
2021-02-19,54.0,54.0,2
2021-02-20,47.0,47.0,2
2021-02-21,57.0,57.0,2
2021-02-22,51.0,51.0,2
2021-02-23,41.0,41.0,2
2021-02-24,35.0,35.0,2
2021-02-25,31.0,31.0,2
2021-02-26,44.0,44.0,2
2021-02-27,53.0,53.0,2
2021-02-28,50.0,50.0,2
2021-03-01,48.0,48.0,2
2021-03-02,47.0,47.0,2
2021-03-03,35.0,35.0,2
2021-03-04,39.0,39.0,2
2021-03-05,45.0,45.0,2
2021-03-06,59.0,59.0,2
2021-03-07,58.0,58.0,2
2021-03-08,35.0,35.0,2
2021-03-09,46.0,46.0,2
2021-03-10,61.0,61.0,2
2021-03-11,42.0,42.0,2
2021-03-12,49.0,49.0,2
2021-03-13,41.0,41.0,2
2021-03-14,58.0,58.0,2
2021-03-15,51.0,51.0,2
2021-03-16,50.0,50.0,2
2021-03-17,39.0,39.0,2
2021-03-18,48.0,48.0,2
2021-03-19,49.0,49.0,2
2021-03-20,53.0,53.0,2
2021-03-21,65.0,65.0,2
2021-03-22,58.0,58.0,2
2021-03-23,49.0,49.0,2
2021-03-24,55.0,55.0,2
2021-03-25,62.0,62.0,2
2021-03-26,61.0,61.0,2
2021-03-27,46.0,46.0,2
2021-03-28,65.0,65.0,2
2021-03-29,49.0,49.0,2
2021-03-30,69.0,69.0,2
2021-03-31,45.0,45.0,2
2021-04-01,63.0,63.0,2
2021-04-02,82.0,82.0,2
2021-04-03,60.0,60.0,2
2021-04-04,67.0,67.0,2
2021-04-05,58.0,58.0,2
2021-04-06,73.0,73.0,2
2021-04-07,50.0,50.0,2
2021-04-08,53.0,53.0,2
2021-04-09,47.0,47.0,2
2021-04-10,54.0,54.0,2
2021-04-11,51.0,51.0,2
2021-04-12,44.0,44.0,2
2021-04-13,49.0,49.0,2
2021-04-14,34.0,34.0,2
2021-04-15,42.0,42.0,2
2021-04-16,45.0,45.0,2
2021-04-17,55.0,55.0,2
2021-04-18,46.0,46.0,2
2021-04-19,50.0,50.0,2
2021-04-20,52.0,52.0,2
2021-04-21,41.0,41.0,2
2021-04-22,74.0,74.0,2
2021-04-23,62.0,62.0,2
2021-04-24,62.0,62.0,2
2021-04-25,60.0,60.0,2
2021-04-26,47.0,47.0,2
2021-04-27,61.0,61.0,2
2021-04-28,51.0,51.0,2
2021-04-29,53.0,53.0,2
2021-04-30,63.0,63.0,2
2021-05-01,64.0,64.0,2
2021-05-02,60.0,60.0,2
2021-05-03,64.0,64.0,2
2021-05-04,49.0,49.0,2
2021-05-05,54.0,54.0,2
2021-05-06,41.0,41.0,2
2021-05-07,51.0,51.0,2
2021-05-08,65.0,65.0,2
2021-05-09,61.0,61.0,2
2021-05-10,54.0,54.0,2
2021-05-11,52.0,52.0,2
2021-05-12,63.0,63.0,2
2021-05-13,49.0,49.0,2
2021-05-14,56.0,56.0,2
2021-05-15,65.0,65.0,2
2021-05-16,50.0,50.0,2
2021-05-17,66.0,66.0,2
2021-05-18,61.0,61.0,2
2021-05-19,50.0,50.0,2
2021-05-20,57.0,57.0,2
2021-05-21,38.0,38.0,2
2021-05-22,44.0,44.0,2
2021-05-23,33.0,33.0,2
2021-05-24,50.0,50.0,2
2021-05-25,40.0,40.0,2
2021-05-26,44.0,44.0,2
2021-05-27,53.0,53.0,2
2021-05-28,50.0,50.0,2
2021-05-29,56.0,56.0,2
