date,/m/01b_06_0,/m/01b_06,batch_id
2020-05-28,12.0,12.0,1
2020-05-29,10.0,10.0,1
2020-05-30,14.0,14.0,1
2020-05-31,11.0,11.0,1
2020-06-01,13.0,13.0,1
2020-06-02,15.0,15.0,1
2020-06-03,13.0,13.0,1
2020-06-04,16.0,16.0,1
2020-06-05,15.0,15.0,1
2020-06-06,9.0,9.0,1
2020-06-07,13.0,13.0,1
2020-06-08,8.0,8.0,1
2020-06-09,18.0,18.0,1
2020-06-10,15.0,15.0,1
2020-06-11,14.0,14.0,1
2020-06-12,10.0,10.0,1
2020-06-13,18.0,18.0,1
2020-06-14,16.0,16.0,1
2020-06-15,13.0,13.0,1
2020-06-16,12.0,12.0,1
2020-06-17,12.0,12.0,1
2020-06-18,14.0,14.0,1
2020-06-19,16.0,16.0,1
2020-06-20,14.0,14.0,1
2020-06-21,12.0,12.0,1
2020-06-22,15.0,15.0,1
2020-06-23,15.0,15.0,1
2020-06-24,10.0,10.0,1
2020-06-25,14.0,14.0,1
2020-06-26,14.0,14.0,1
2020-06-27,11.0,11.0,1
2020-06-28,16.0,16.0,1
2020-06-29,15.0,15.0,1
2020-06-30,13.0,13.0,1
2020-07-01,15.0,15.0,1
2020-07-02,15.0,15.0,1
2020-07-03,10.0,10.0,1
2020-07-04,10.0,10.0,1
2020-07-05,19.0,19.0,1
2020-07-06,14.0,14.0,1
2020-07-07,16.0,16.0,1
2020-07-08,12.0,12.0,1
2020-07-09,16.0,16.0,1
2020-07-10,8.0,8.0,1
2020-07-11,14.0,14.0,1
2020-07-12,18.0,18.0,1
2020-07-13,21.0,21.0,1
2020-07-14,19.0,19.0,1
2020-07-15,17.0,17.0,1
2020-07-16,18.0,18.0,1
2020-07-17,13.0,13.0,1
2020-07-18,17.0,17.0,1
2020-07-19,25.0,25.0,1
2020-07-20,11.0,11.0,1
2020-07-21,16.0,16.0,1
2020-07-22,16.0,16.0,1
2020-07-23,14.0,14.0,1
2020-07-24,12.0,12.0,1
2020-07-25,18.0,18.0,1
2020-07-26,17.0,17.0,1
2020-07-27,18.0,18.0,1
2020-07-28,13.0,13.0,1
2020-07-29,15.0,15.0,1
2020-07-30,16.0,16.0,1
2020-07-31,14.0,14.0,1
2020-08-01,23.0,23.0,1
2020-08-02,20.0,20.0,1
2020-08-03,19.0,19.0,1
2020-08-04,25.0,25.0,1
2020-08-05,17.0,17.0,1
2020-08-06,16.0,16.0,1
2020-08-07,20.0,20.0,1
2020-08-08,19.0,19.0,1
2020-08-09,18.0,18.0,1
2020-08-10,23.0,23.0,1
2020-08-11,20.0,20.0,1
2020-08-12,25.0,25.0,1
2020-08-13,37.0,37.0,1
2020-08-14,24.0,24.0,1
2020-08-15,21.0,21.0,1
2020-08-16,25.0,25.0,1
2020-08-17,27.0,27.0,1
2020-08-18,26.0,26.0,1
2020-08-19,25.0,25.0,1
2020-08-20,25.0,25.0,1
2020-08-21,24.0,24.0,1
2020-08-22,25.0,25.0,1
2020-08-23,24.0,24.0,1
2020-08-24,22.0,22.0,1
2020-08-25,20.0,20.0,1
2020-08-26,21.0,21.0,1
2020-08-27,15.0,15.0,1
2020-08-28,13.0,13.0,1
2020-08-29,24.0,24.0,1
2020-08-30,27.0,27.0,1
2020-08-31,17.0,17.0,1
2020-09-01,16.0,16.0,1
2020-09-02,14.0,14.0,1
2020-09-03,23.0,23.0,1
2020-09-04,18.0,18.0,1
2020-09-05,19.0,19.0,1
2020-09-06,19.0,19.0,1
2020-09-07,24.0,24.0,1
2020-09-08,22.0,22.0,1
2020-09-09,17.0,17.0,1
2020-09-10,11.0,11.0,1
2020-09-11,16.0,16.0,1
2020-09-12,18.0,18.0,1
2020-09-13,19.0,19.0,1
2020-09-14,22.0,22.0,1
2020-09-15,14.0,14.0,1
2020-09-16,19.0,19.0,1
2020-09-17,16.0,16.0,1
2020-09-18,14.0,14.0,1
2020-09-19,16.0,16.0,1
2020-09-20,24.0,24.0,1
2020-09-21,19.0,19.0,1
2020-09-22,19.0,19.0,1
2020-09-23,15.0,15.0,1
2020-09-24,23.0,23.0,1
2020-09-25,16.0,16.0,1
2020-09-26,22.0,22.0,1
2020-09-27,21.0,21.0,1
2020-09-28,25.0,25.0,1
2020-09-29,16.0,16.0,1
2020-09-30,14.0,14.0,1
2020-10-01,18.0,18.0,1
2020-10-02,19.0,19.0,1
2020-10-03,26.0,26.0,1
2020-10-04,22.0,22.0,1
2020-10-05,23.0,23.0,1
2020-10-06,15.0,15.0,1
2020-10-07,17.0,17.0,1
2020-10-08,22.0,22.0,1
2020-10-09,17.0,17.0,1
2020-10-10,18.0,18.0,1
2020-10-11,15.0,15.0,1
2020-10-12,18.0,18.0,1
2020-10-13,17.0,17.0,1
2020-10-14,25.0,25.0,1
2020-10-15,14.0,14.0,1
2020-10-16,18.0,18.0,1
2020-10-17,17.0,17.0,1
2020-10-18,19.0,19.0,1
2020-10-19,26.0,26.0,1
2020-10-20,25.0,25.0,1
2020-10-21,19.0,19.0,1
2020-10-22,25.0,25.0,1
2020-10-23,22.0,22.0,1
2020-10-24,29.0,29.0,1
2020-10-25,25.0,25.0,1
2020-10-26,25.0,25.0,1
2020-10-27,21.0,21.0,1
2020-09-28,69.0,69.0,2
2020-09-29,47.0,47.0,2
2020-09-30,63.0,63.0,2
2020-10-01,60.0,60.0,2
2020-10-02,57.0,57.0,2
2020-10-03,66.0,66.0,2
2020-10-04,73.0,73.0,2
2020-10-05,63.0,63.0,2
2020-10-06,56.0,56.0,2
2020-10-07,63.0,63.0,2
2020-10-08,49.0,49.0,2
2020-10-09,69.0,69.0,2
2020-10-10,55.0,55.0,2
2020-10-11,45.0,45.0,2
2020-10-12,50.0,50.0,2
2020-10-13,61.0,61.0,2
2020-10-14,46.0,46.0,2
2020-10-15,57.0,57.0,2
2020-10-16,66.0,66.0,2
2020-10-17,75.0,75.0,2
2020-10-18,63.0,63.0,2
2020-10-19,76.0,76.0,2
2020-10-20,75.0,75.0,2
2020-10-21,54.0,54.0,2
2020-10-22,78.0,78.0,2
2020-10-23,84.0,84.0,2
2020-10-24,62.0,62.0,2
2020-10-25,79.0,79.0,2
2020-10-26,86.0,86.0,2
2020-10-27,91.0,91.0,2
2020-10-28,85.0,85.0,2
2020-10-29,81.0,81.0,2
2020-10-30,54.0,54.0,2
2020-10-31,74.0,74.0,2
2020-11-01,100.0,100.0,2
2020-11-02,91.0,91.0,2
2020-11-03,61.0,61.0,2
2020-11-04,64.0,64.0,2
2020-11-05,60.0,60.0,2
2020-11-06,79.0,79.0,2
2020-11-07,83.0,83.0,2
2020-11-08,74.0,74.0,2
2020-11-09,78.0,78.0,2
2020-11-10,76.0,76.0,2
2020-11-11,83.0,83.0,2
2020-11-12,86.0,86.0,2
2020-11-13,63.0,63.0,2
2020-11-14,76.0,76.0,2
2020-11-15,85.0,85.0,2
2020-11-16,78.0,78.0,2
2020-11-17,64.0,64.0,2
2020-11-18,69.0,69.0,2
2020-11-19,66.0,66.0,2
2020-11-20,57.0,57.0,2
2020-11-21,63.0,63.0,2
2020-11-22,70.0,70.0,2
2020-11-23,67.0,67.0,2
2020-11-24,53.0,53.0,2
2020-11-25,52.0,52.0,2
2020-11-26,48.0,48.0,2
2020-11-27,39.0,39.0,2
2020-11-28,57.0,57.0,2
2020-11-29,72.0,72.0,2
2020-11-30,43.0,43.0,2
2020-12-01,47.0,47.0,2
2020-12-02,61.0,61.0,2
2020-12-03,32.0,32.0,2
2020-12-04,53.0,53.0,2
2020-12-05,41.0,41.0,2
2020-12-06,62.0,62.0,2
2020-12-07,49.0,49.0,2
2020-12-08,65.0,65.0,2
2020-12-09,54.0,54.0,2
2020-12-10,54.0,54.0,2
2020-12-11,48.0,48.0,2
2020-12-12,52.0,52.0,2
2020-12-13,51.0,51.0,2
2020-12-14,33.0,33.0,2
2020-12-15,41.0,41.0,2
2020-12-16,51.0,51.0,2
2020-12-17,62.0,62.0,2
2020-12-18,41.0,41.0,2
2020-12-19,46.0,46.0,2
2020-12-20,67.0,67.0,2
2020-12-21,47.0,47.0,2
2020-12-22,51.0,51.0,2
2020-12-23,47.0,47.0,2
2020-12-24,49.0,49.0,2
2020-12-25,43.0,43.0,2
2020-12-26,63.0,63.0,2
2020-12-27,60.0,60.0,2
2020-12-28,49.0,49.0,2
2020-12-29,48.0,48.0,2
2020-12-30,52.0,52.0,2
2020-12-31,40.0,40.0,2
2021-01-01,50.0,50.0,2
2021-01-02,51.0,51.0,2
2021-01-03,42.0,42.0,2
2021-01-04,62.0,62.0,2
2021-01-05,61.0,61.0,2
2021-01-06,71.0,71.0,2
2021-01-07,55.0,55.0,2
2021-01-08,50.0,50.0,2
2021-01-09,37.0,37.0,2
2021-01-10,68.0,68.0,2
2021-01-11,55.0,55.0,2
2021-01-12,45.0,45.0,2
2021-01-13,40.0,40.0,2
2021-01-14,44.0,44.0,2
2021-01-15,33.0,33.0,2
2021-01-16,61.0,61.0,2
2021-01-17,63.0,63.0,2
2021-01-18,47.0,47.0,2
2021-01-19,42.0,42.0,2
2021-01-20,35.0,35.0,2
2021-01-21,39.0,39.0,2
2021-01-22,37.0,37.0,2
2021-01-23,51.0,51.0,2
2021-01-24,50.0,50.0,2
2021-01-25,56.0,56.0,2
2021-01-26,56.0,56.0,2
2021-01-27,53.0,53.0,2
2021-01-28,39.0,39.0,2
2021-01-29,62.0,62.0,2
2021-01-30,52.0,52.0,2
2021-01-31,55.0,55.0,2
2021-02-01,23.0,23.0,2
2021-02-02,61.0,61.0,2
2021-02-03,47.0,47.0,2
2021-02-04,56.0,56.0,2
2021-02-05,58.0,58.0,2
2021-02-06,77.0,77.0,2
2021-02-07,61.0,61.0,2
2021-02-08,60.0,60.0,2
2021-02-09,83.0,83.0,2
2021-02-10,57.0,57.0,2
2021-02-11,71.0,71.0,2
2021-02-12,65.0,65.0,2
2021-02-13,59.0,59.0,2
2021-02-14,48.0,48.0,2
2021-02-15,50.0,50.0,2
2021-02-16,34.0,34.0,2
2021-02-17,54.0,54.0,2
2021-02-18,50.0,50.0,2
2021-02-19,64.0,64.0,2
2021-02-20,69.0,69.0,2
2021-02-21,65.0,65.0,2
2021-02-22,44.0,44.0,2
2021-02-23,73.0,73.0,2
2021-02-24,78.0,78.0,2
2021-02-25,53.0,53.0,2
2021-02-26,48.0,48.0,2
2021-02-27,79.0,79.0,2
2021-02-28,56.0,56.0,2
2021-03-01,52.0,52.0,2
2021-03-02,76.0,76.0,2
2021-03-03,66.0,66.0,2
2021-03-04,54.0,54.0,2
2021-03-05,58.0,58.0,2
2021-03-06,67.0,67.0,2
2021-03-07,71.0,71.0,2
2021-03-08,56.0,56.0,2
2021-03-09,69.0,69.0,2
2021-03-10,72.0,72.0,2
2021-03-11,66.0,66.0,2
2021-03-12,93.0,93.0,2
2021-03-13,88.0,88.0,2
2021-03-14,38.0,38.0,2
2021-03-15,61.0,61.0,2
2021-03-16,58.0,58.0,2
2021-03-17,72.0,72.0,2
2021-03-18,73.0,73.0,2
2021-03-19,52.0,52.0,2
2021-03-20,72.0,72.0,2
2021-03-21,58.0,58.0,2
2021-03-22,61.0,61.0,2
2021-03-23,66.0,66.0,2
2021-03-24,52.0,52.0,2
2021-03-25,65.0,65.0,2
2021-03-26,78.0,78.0,2
2021-03-27,69.0,69.0,2
2021-03-28,72.0,72.0,2
2021-03-29,73.0,73.0,2
2021-03-30,52.0,52.0,2
2021-03-31,46.0,46.0,2
2021-04-01,55.0,55.0,2
2021-04-02,85.0,85.0,2
2021-04-03,77.0,77.0,2
2021-04-04,78.0,78.0,2
2021-04-05,52.0,52.0,2
2021-04-06,61.0,61.0,2
2021-04-07,61.0,61.0,2
2021-04-08,76.0,76.0,2
2021-04-09,57.0,57.0,2
2021-04-10,63.0,63.0,2
2021-04-11,80.0,80.0,2
2021-04-12,49.0,49.0,2
2021-04-13,80.0,80.0,2
2021-04-14,70.0,70.0,2
2021-04-15,65.0,65.0,2
2021-04-16,45.0,45.0,2
2021-04-17,61.0,61.0,2
2021-04-18,40.0,40.0,2
2021-04-19,67.0,67.0,2
2021-04-20,78.0,78.0,2
2021-04-21,44.0,44.0,2
2021-04-22,54.0,54.0,2
2021-04-23,63.0,63.0,2
2021-04-24,59.0,59.0,2
2021-04-25,67.0,67.0,2
2021-04-26,65.0,65.0,2
2021-04-27,56.0,56.0,2
2021-04-28,60.0,60.0,2
2021-04-29,52.0,52.0,2
2021-04-30,69.0,69.0,2
2021-05-01,85.0,85.0,2
2021-05-02,76.0,76.0,2
2021-05-03,72.0,72.0,2
2021-05-04,69.0,69.0,2
2021-05-05,79.0,79.0,2
2021-05-06,62.0,62.0,2
2021-05-07,71.0,71.0,2
2021-05-08,79.0,79.0,2
2021-05-09,63.0,63.0,2
2021-05-10,76.0,76.0,2
2021-05-11,53.0,53.0,2
2021-05-12,59.0,59.0,2
2021-05-13,70.0,70.0,2
2021-05-14,49.0,49.0,2
