date,/m/0g9pc_0,/m/0g9pc,batch_id
2020-04-07,26.0,26.0,1
2020-04-08,31.0,31.0,1
2020-04-09,30.0,30.0,1
2020-04-10,27.0,27.0,1
2020-04-11,24.0,24.0,1
2020-04-12,23.0,23.0,1
2020-04-13,19.0,19.0,1
2020-04-14,18.0,18.0,1
2020-04-15,19.0,19.0,1
2020-04-16,15.0,15.0,1
2020-04-17,20.0,20.0,1
2020-04-18,16.0,16.0,1
2020-04-19,22.0,22.0,1
2020-04-20,18.0,18.0,1
2020-04-21,16.0,16.0,1
2020-04-22,19.0,19.0,1
2020-04-23,18.0,18.0,1
2020-04-24,17.0,17.0,1
2020-04-25,14.0,14.0,1
2020-04-26,17.0,17.0,1
2020-04-27,13.0,13.0,1
2020-04-28,12.0,12.0,1
2020-04-29,10.0,10.0,1
2020-04-30,11.0,11.0,1
2020-05-01,11.0,11.0,1
2020-05-02,13.0,13.0,1
2020-05-03,11.0,11.0,1
2020-05-04,15.0,15.0,1
2020-05-05,12.0,12.0,1
2020-05-06,12.0,12.0,1
2020-05-07,12.0,12.0,1
2020-05-08,16.0,16.0,1
2020-05-09,13.0,13.0,1
2020-05-10,8.0,8.0,1
2020-05-11,11.0,11.0,1
2020-05-12,12.0,12.0,1
2020-05-13,6.0,6.0,1
2020-05-14,10.0,10.0,1
2020-05-15,10.0,10.0,1
2020-05-16,10.0,10.0,1
2020-05-17,10.0,10.0,1
2020-05-18,11.0,11.0,1
2020-05-19,7.0,7.0,1
2020-05-20,8.0,8.0,1
2020-05-21,7.0,7.0,1
2020-05-22,8.0,8.0,1
2020-05-23,9.0,9.0,1
2020-05-24,9.0,9.0,1
2020-05-25,8.0,8.0,1
2020-05-26,8.0,8.0,1
2020-05-27,6.0,6.0,1
2020-05-28,6.0,6.0,1
2020-05-29,9.0,9.0,1
2020-05-30,3.0,3.0,1
2020-05-31,7.0,7.0,1
2020-06-01,5.0,5.0,1
2020-06-02,4.0,4.0,1
2020-06-03,5.0,5.0,1
2020-06-04,6.0,6.0,1
2020-06-05,5.0,5.0,1
2020-06-06,6.0,6.0,1
2020-06-07,3.0,3.0,1
2020-06-08,8.0,8.0,1
2020-06-09,5.0,5.0,1
2020-06-10,5.0,5.0,1
2020-06-11,6.0,6.0,1
2020-06-12,4.0,4.0,1
2020-06-13,5.0,5.0,1
2020-06-14,3.0,3.0,1
2020-06-15,7.0,7.0,1
2020-06-16,4.0,4.0,1
2020-06-17,6.0,6.0,1
2020-06-18,6.0,6.0,1
2020-06-19,3.0,3.0,1
2020-06-20,6.0,6.0,1
2020-06-21,4.0,4.0,1
2020-06-22,6.0,6.0,1
2020-06-23,6.0,6.0,1
2020-06-24,5.0,5.0,1
2020-06-25,6.0,6.0,1
2020-06-26,5.0,5.0,1
2020-06-27,2.0,2.0,1
2020-06-28,5.0,5.0,1
2020-06-29,8.0,8.0,1
2020-06-30,5.0,5.0,1
2020-07-01,4.0,4.0,1
2020-07-02,5.0,5.0,1
2020-07-03,5.0,5.0,1
2020-07-04,3.0,3.0,1
2020-07-05,4.0,4.0,1
2020-07-06,5.0,5.0,1
2020-07-07,5.0,5.0,1
2020-07-08,5.0,5.0,1
2020-07-09,6.0,6.0,1
2020-07-10,5.0,5.0,1
2020-07-11,5.0,5.0,1
2020-07-12,12.0,12.0,1
2020-07-13,12.0,12.0,1
2020-07-14,3.0,3.0,1
2020-07-15,5.0,5.0,1
2020-07-16,7.0,7.0,1
2020-07-17,2.0,2.0,1
2020-07-18,3.0,3.0,1
2020-07-19,5.0,5.0,1
2020-07-20,6.0,6.0,1
2020-07-21,4.0,4.0,1
2020-07-22,5.0,5.0,1
2020-07-23,4.0,4.0,1
2020-07-24,3.0,3.0,1
2020-07-25,4.0,4.0,1
2020-07-26,5.0,5.0,1
2020-07-27,2.0,2.0,1
2020-07-28,4.0,4.0,1
2020-07-29,7.0,7.0,1
2020-07-30,3.0,3.0,1
2020-07-31,6.0,6.0,1
2020-08-01,4.0,4.0,1
2020-08-02,4.0,4.0,1
2020-08-03,6.0,6.0,1
2020-08-04,4.0,4.0,1
2020-08-05,4.0,4.0,1
2020-08-06,4.0,4.0,1
2020-08-07,5.0,5.0,1
2020-08-08,3.0,3.0,1
2020-08-09,3.0,3.0,1
2020-08-10,4.0,4.0,1
2020-08-11,3.0,3.0,1
2020-08-12,5.0,5.0,1
2020-08-13,7.0,7.0,1
2020-08-14,6.0,6.0,1
2020-08-15,7.0,7.0,1
2020-08-16,4.0,4.0,1
2020-08-17,6.0,6.0,1
2020-08-18,4.0,4.0,1
2020-08-19,4.0,4.0,1
2020-08-20,4.0,4.0,1
2020-08-21,2.0,2.0,1
2020-08-22,5.0,5.0,1
2020-08-23,5.0,5.0,1
2020-08-24,5.0,5.0,1
2020-08-25,4.0,4.0,1
2020-08-26,5.0,5.0,1
2020-08-27,7.0,7.0,1
2020-08-28,8.0,8.0,1
2020-08-29,8.0,8.0,1
2020-08-30,10.0,10.0,1
2020-08-31,8.0,8.0,1
2020-09-01,10.0,10.0,1
2020-09-02,7.0,7.0,1
2020-09-03,9.0,9.0,1
2020-09-04,9.0,9.0,1
2020-09-05,6.0,6.0,1
2020-09-06,6.0,6.0,1
2020-09-07,7.0,7.0,1
2020-09-08,8.0,8.0,1
2020-09-09,11.0,11.0,1
2020-09-10,5.0,5.0,1
2020-09-11,6.0,6.0,1
2020-09-12,7.0,7.0,1
2020-09-13,10.0,10.0,1
2020-09-14,9.0,9.0,1
2020-09-15,9.0,9.0,1
2020-09-16,8.0,8.0,1
2020-09-17,9.0,9.0,1
2020-09-18,12.0,12.0,1
2020-09-19,8.0,8.0,1
2020-09-20,8.0,8.0,1
2020-09-21,6.0,6.0,1
2020-09-22,8.0,8.0,1
2020-09-23,9.0,9.0,1
2020-09-24,6.0,6.0,1
2020-09-25,3.0,3.0,1
2020-09-26,6.0,6.0,1
2020-09-27,4.0,4.0,1
2020-09-28,4.0,4.0,1
2020-09-29,8.0,8.0,1
2020-09-30,3.0,3.0,1
2020-10-01,7.0,7.0,1
2020-10-02,4.0,4.0,1
2020-10-03,8.0,8.0,1
2020-10-04,5.0,5.0,1
2020-10-05,7.0,7.0,1
2020-10-06,9.0,9.0,1
2020-10-07,3.0,3.0,1
2020-10-08,4.0,4.0,1
2020-10-09,3.0,3.0,1
2020-10-10,4.0,4.0,1
2020-10-11,5.0,5.0,1
2020-10-12,4.0,4.0,1
2020-10-13,2.0,2.0,1
2020-10-14,4.0,4.0,1
2020-10-15,3.0,3.0,1
2020-10-16,5.0,5.0,1
2020-10-17,6.0,6.0,1
2020-10-18,5.0,5.0,1
2020-10-19,7.0,7.0,1
2020-10-20,4.0,4.0,1
2020-10-21,7.0,7.0,1
2020-10-22,5.0,5.0,1
2020-10-23,6.0,6.0,1
2020-10-24,7.0,7.0,1
2020-10-25,5.0,5.0,1
2020-10-26,10.0,10.0,1
2020-10-27,7.0,7.0,1
2020-09-28,31.0,31.0,2
2020-09-29,40.0,40.0,2
2020-09-30,20.0,20.0,2
2020-10-01,40.0,40.0,2
2020-10-02,40.0,40.0,2
2020-10-03,37.0,37.0,2
2020-10-04,34.0,34.0,2
2020-10-05,59.0,59.0,2
2020-10-06,40.0,40.0,2
2020-10-07,54.0,54.0,2
2020-10-08,35.0,35.0,2
2020-10-09,16.0,16.0,2
2020-10-10,21.0,21.0,2
2020-10-11,47.0,47.0,2
2020-10-12,11.0,11.0,2
2020-10-13,43.0,43.0,2
2020-10-14,44.0,44.0,2
2020-10-15,30.0,30.0,2
2020-10-16,38.0,38.0,2
2020-10-17,39.0,39.0,2
2020-10-18,22.0,22.0,2
2020-10-19,54.0,54.0,2
2020-10-20,55.0,55.0,2
2020-10-21,40.0,40.0,2
2020-10-22,49.0,49.0,2
2020-10-23,60.0,60.0,2
2020-10-24,23.0,23.0,2
2020-10-25,50.0,50.0,2
2020-10-26,53.0,53.0,2
2020-10-27,37.0,37.0,2
2020-10-28,45.0,45.0,2
2020-10-29,36.0,36.0,2
2020-10-30,59.0,59.0,2
2020-10-31,52.0,52.0,2
2020-11-01,19.0,19.0,2
2020-11-02,61.0,61.0,2
2020-11-03,69.0,69.0,2
2020-11-04,37.0,37.0,2
2020-11-05,65.0,65.0,2
2020-11-06,53.0,53.0,2
2020-11-07,73.0,73.0,2
2020-11-08,46.0,46.0,2
2020-11-09,76.0,76.0,2
2020-11-10,71.0,71.0,2
2020-11-11,48.0,48.0,2
2020-11-12,80.0,80.0,2
2020-11-13,63.0,63.0,2
2020-11-14,57.0,57.0,2
2020-11-15,84.0,84.0,2
2020-11-16,77.0,77.0,2
2020-11-17,74.0,74.0,2
2020-11-18,82.0,82.0,2
2020-11-19,34.0,34.0,2
2020-11-20,63.0,63.0,2
2020-11-21,57.0,57.0,2
2020-11-22,79.0,79.0,2
2020-11-23,59.0,59.0,2
2020-11-24,58.0,58.0,2
2020-11-25,34.0,34.0,2
2020-11-26,48.0,48.0,2
2020-11-27,20.0,20.0,2
2020-11-28,52.0,52.0,2
2020-11-29,60.0,60.0,2
2020-11-30,50.0,50.0,2
2020-12-01,33.0,33.0,2
2020-12-02,30.0,30.0,2
2020-12-03,45.0,45.0,2
2020-12-04,44.0,44.0,2
2020-12-05,36.0,36.0,2
2020-12-06,55.0,55.0,2
2020-12-07,35.0,35.0,2
2020-12-08,41.0,41.0,2
2020-12-09,45.0,45.0,2
2020-12-10,36.0,36.0,2
2020-12-11,20.0,20.0,2
2020-12-12,42.0,42.0,2
2020-12-13,30.0,30.0,2
2020-12-14,45.0,45.0,2
2020-12-15,32.0,32.0,2
2020-12-16,47.0,47.0,2
2020-12-17,24.0,24.0,2
2020-12-18,25.0,25.0,2
2020-12-19,26.0,26.0,2
2020-12-20,46.0,46.0,2
2020-12-21,53.0,53.0,2
2020-12-22,25.0,25.0,2
2020-12-23,40.0,40.0,2
2020-12-24,42.0,42.0,2
2020-12-25,22.0,22.0,2
2020-12-26,27.0,27.0,2
2020-12-27,30.0,30.0,2
2020-12-28,47.0,47.0,2
2020-12-29,36.0,36.0,2
2020-12-30,30.0,30.0,2
2020-12-31,20.0,20.0,2
2021-01-01,29.0,29.0,2
2021-01-02,37.0,37.0,2
2021-01-03,42.0,42.0,2
2021-01-04,44.0,44.0,2
2021-01-05,34.0,34.0,2
2021-01-06,64.0,64.0,2
2021-01-07,60.0,60.0,2
2021-01-08,38.0,38.0,2
2021-01-09,38.0,38.0,2
2021-01-10,30.0,30.0,2
2021-01-11,22.0,22.0,2
2021-01-12,31.0,31.0,2
2021-01-13,66.0,66.0,2
2021-01-14,32.0,32.0,2
2021-01-15,15.0,15.0,2
2021-01-16,13.0,13.0,2
2021-01-17,46.0,46.0,2
2021-01-18,25.0,25.0,2
2021-01-19,31.0,31.0,2
2021-01-20,31.0,31.0,2
2021-01-21,38.0,38.0,2
2021-01-22,27.0,27.0,2
2021-01-23,34.0,34.0,2
2021-01-24,45.0,45.0,2
2021-01-25,33.0,33.0,2
2021-01-26,56.0,56.0,2
2021-01-27,32.0,32.0,2
2021-01-28,17.0,17.0,2
2021-01-29,23.0,23.0,2
2021-01-30,16.0,16.0,2
2021-01-31,15.0,15.0,2
2021-02-01,51.0,51.0,2
2021-02-02,20.0,20.0,2
2021-02-03,23.0,23.0,2
2021-02-04,18.0,18.0,2
2021-02-05,27.0,27.0,2
2021-02-06,40.0,40.0,2
2021-02-07,24.0,24.0,2
2021-02-08,19.0,19.0,2
2021-02-09,33.0,33.0,2
2021-02-10,30.0,30.0,2
2021-02-11,26.0,26.0,2
2021-02-12,60.0,60.0,2
2021-02-13,26.0,26.0,2
2021-02-14,31.0,31.0,2
2021-02-15,25.0,25.0,2
2021-02-16,62.0,62.0,2
2021-02-17,63.0,63.0,2
2021-02-18,56.0,56.0,2
2021-02-19,54.0,54.0,2
2021-02-20,51.0,51.0,2
2021-02-21,41.0,41.0,2
2021-02-22,39.0,39.0,2
2021-02-23,32.0,32.0,2
2021-02-24,47.0,47.0,2
2021-02-25,33.0,33.0,2
2021-02-26,47.0,47.0,2
2021-02-27,55.0,55.0,2
2021-02-28,44.0,44.0,2
2021-03-01,40.0,40.0,2
2021-03-02,50.0,50.0,2
2021-03-03,53.0,53.0,2
2021-03-04,100.0,100.0,2
2021-03-05,49.0,49.0,2
2021-03-06,30.0,30.0,2
2021-03-07,43.0,43.0,2
2021-03-08,58.0,58.0,2
2021-03-09,55.0,55.0,2
2021-03-10,36.0,36.0,2
2021-03-11,62.0,62.0,2
2021-03-12,64.0,64.0,2
2021-03-13,37.0,37.0,2
2021-03-14,29.0,29.0,2
2021-03-15,61.0,61.0,2
2021-03-16,39.0,39.0,2
2021-03-17,65.0,65.0,2
2021-03-18,74.0,74.0,2
2021-03-19,28.0,28.0,2
2021-03-20,36.0,36.0,2
2021-03-21,61.0,61.0,2
2021-03-22,45.0,45.0,2
2021-03-23,65.0,65.0,2
2021-03-24,58.0,58.0,2
2021-03-25,71.0,71.0,2
2021-03-26,54.0,54.0,2
2021-03-27,55.0,55.0,2
2021-03-28,48.0,48.0,2
2021-03-29,54.0,54.0,2
2021-03-30,60.0,60.0,2
2021-03-31,43.0,43.0,2
2021-04-01,43.0,43.0,2
2021-04-02,33.0,33.0,2
2021-04-03,72.0,72.0,2
2021-04-04,42.0,42.0,2
2021-04-05,61.0,61.0,2
2021-04-06,48.0,48.0,2
2021-04-07,49.0,49.0,2
2021-04-08,43.0,43.0,2
2021-04-09,31.0,31.0,2
2021-04-10,47.0,47.0,2
2021-04-11,46.0,46.0,2
2021-04-12,43.0,43.0,2
2021-04-13,16.0,16.0,2
2021-04-14,37.0,37.0,2
2021-04-15,35.0,35.0,2
2021-04-16,26.0,26.0,2
2021-04-17,32.0,32.0,2
2021-04-18,43.0,43.0,2
2021-04-19,31.0,31.0,2
2021-04-20,30.0,30.0,2
2021-04-21,26.0,26.0,2
2021-04-22,54.0,54.0,2
2021-04-23,61.0,61.0,2
2021-04-24,32.0,32.0,2
2021-04-25,36.0,36.0,2
2021-04-26,38.0,38.0,2
2021-04-27,51.0,51.0,2
2021-04-28,51.0,51.0,2
2021-04-29,26.0,26.0,2
2021-04-30,47.0,47.0,2
2021-05-01,17.0,17.0,2
2021-05-02,19.0,19.0,2
2021-05-03,36.0,36.0,2
2021-05-04,37.0,37.0,2
2021-05-05,34.0,34.0,2
2021-05-06,37.0,37.0,2
2021-05-07,23.0,23.0,2
2021-05-08,18.0,18.0,2
2021-05-09,31.0,31.0,2
2021-05-10,24.0,24.0,2
2021-05-11,27.0,27.0,2
2021-05-12,23.0,23.0,2
2021-05-13,20.0,20.0,2
2021-05-14,46.0,46.0,2
