date,/m/0m7pl_0,/m/0m7pl,batch_id
2020-04-22,3.0,3.0,1
2020-04-23,2.0,2.0,1
2020-04-24,7.0,7.0,1
2020-04-25,2.0,2.0,1
2020-04-26,3.0,3.0,1
2020-04-27,3.0,3.0,1
2020-04-28,7.0,7.0,1
2020-04-29,4.0,4.0,1
2020-04-30,5.0,5.0,1
2020-05-01,4.0,4.0,1
2020-05-02,4.0,4.0,1
2020-05-03,4.0,4.0,1
2020-05-04,2.0,2.0,1
2020-05-05,4.0,4.0,1
2020-05-06,4.0,4.0,1
2020-05-07,3.0,3.0,1
2020-05-08,3.0,3.0,1
2020-05-09,2.0,2.0,1
2020-05-10,6.0,6.0,1
2020-05-11,2.0,2.0,1
2020-05-12,5.0,5.0,1
2020-05-13,7.0,7.0,1
2020-05-14,2.0,2.0,1
2020-05-15,3.0,3.0,1
2020-05-16,5.0,5.0,1
2020-05-17,4.0,4.0,1
2020-05-18,11.0,11.0,1
2020-05-19,2.0,2.0,1
2020-05-20,2.0,2.0,1
2020-05-21,4.0,4.0,1
2020-05-22,5.0,5.0,1
2020-05-23,3.0,3.0,1
2020-05-24,1.0,1.0,1
2020-05-25,4.0,4.0,1
2020-05-26,3.0,3.0,1
2020-05-27,2.0,2.0,1
2020-05-28,4.0,4.0,1
2020-05-29,4.0,4.0,1
2020-05-30,4.0,4.0,1
2020-05-31,7.0,7.0,1
2020-06-01,3.0,3.0,1
2020-06-02,5.0,5.0,1
2020-06-03,3.0,3.0,1
2020-06-04,1.0,1.0,1
2020-06-05,3.0,3.0,1
2020-06-06,3.0,3.0,1
2020-06-07,1.0,1.0,1
2020-06-08,2.0,2.0,1
2020-06-09,3.0,3.0,1
2020-06-10,1.0,1.0,1
2020-06-11,1.0,1.0,1
2020-06-12,3.0,3.0,1
2020-06-13,0.0,0.0,1
2020-06-14,0.0,0.0,1
2020-06-15,2.0,2.0,1
2020-06-16,3.0,3.0,1
2020-06-17,1.0,1.0,1
2020-06-18,2.0,2.0,1
2020-06-19,3.0,3.0,1
2020-06-20,3.0,3.0,1
2020-06-21,2.0,2.0,1
2020-06-22,2.0,2.0,1
2020-06-23,1.0,1.0,1
2020-06-24,5.0,5.0,1
2020-06-25,1.0,1.0,1
2020-06-26,0.0,0.0,1
2020-06-27,1.0,1.0,1
2020-06-28,3.0,3.0,1
2020-06-29,0.0,0.0,1
2020-06-30,0.0,0.0,1
2020-07-01,3.0,3.0,1
2020-07-02,1.0,1.0,1
2020-07-03,0.0,0.0,1
2020-07-04,1.0,1.0,1
2020-07-05,1.0,1.0,1
2020-07-06,3.0,3.0,1
2020-07-07,1.0,1.0,1
2020-07-08,3.0,3.0,1
2020-07-09,3.0,3.0,1
2020-07-10,1.0,1.0,1
2020-07-11,2.0,2.0,1
2020-07-12,1.0,1.0,1
2020-07-13,3.0,3.0,1
2020-07-14,0.0,0.0,1
2020-07-15,3.0,3.0,1
2020-07-16,4.0,4.0,1
2020-07-17,2.0,2.0,1
2020-07-18,4.0,4.0,1
2020-07-19,0.0,0.0,1
2020-07-20,5.0,5.0,1
2020-07-21,3.0,3.0,1
2020-07-22,0.0,0.0,1
2020-07-23,2.0,2.0,1
2020-07-24,1.0,1.0,1
2020-07-25,1.0,1.0,1
2020-07-26,0.0,0.0,1
2020-07-27,2.0,2.0,1
2020-07-28,5.0,5.0,1
2020-07-29,0.0,0.0,1
2020-07-30,5.0,5.0,1
2020-07-31,1.0,1.0,1
2020-08-01,4.0,4.0,1
2020-08-02,3.0,3.0,1
2020-08-03,2.0,2.0,1
2020-08-04,1.0,1.0,1
2020-08-05,0.0,0.0,1
2020-08-06,3.0,3.0,1
2020-08-07,3.0,3.0,1
2020-08-08,4.0,4.0,1
2020-08-09,1.0,1.0,1
2020-08-10,0.0,0.0,1
2020-08-11,1.0,1.0,1
2020-08-12,4.0,4.0,1
2020-08-13,2.0,2.0,1
2020-08-14,2.0,2.0,1
2020-08-15,6.0,6.0,1
2020-08-16,1.0,1.0,1
2020-08-17,4.0,4.0,1
2020-08-18,1.0,1.0,1
2020-08-19,3.0,3.0,1
2020-08-20,3.0,3.0,1
2020-08-21,1.0,1.0,1
2020-08-22,3.0,3.0,1
2020-08-23,5.0,5.0,1
2020-08-24,5.0,5.0,1
2020-08-25,1.0,1.0,1
2020-08-26,4.0,4.0,1
2020-08-27,5.0,5.0,1
2020-08-28,3.0,3.0,1
2020-08-29,2.0,2.0,1
2020-08-30,2.0,2.0,1
2020-08-31,4.0,4.0,1
2020-09-01,4.0,4.0,1
2020-09-02,0.0,0.0,1
2020-09-03,4.0,4.0,1
2020-09-04,4.0,4.0,1
2020-09-05,2.0,2.0,1
2020-09-06,8.0,8.0,1
2020-09-07,1.0,1.0,1
2020-09-08,1.0,1.0,1
2020-09-09,4.0,4.0,1
2020-09-10,7.0,7.0,1
2020-09-11,3.0,3.0,1
2020-09-12,9.0,9.0,1
2020-09-13,8.0,8.0,1
2020-09-14,11.0,11.0,1
2020-09-15,11.0,11.0,1
2020-09-16,8.0,8.0,1
2020-09-17,6.0,6.0,1
2020-09-18,6.0,6.0,1
2020-09-19,5.0,5.0,1
2020-09-20,2.0,2.0,1
2020-09-21,4.0,4.0,1
2020-09-22,7.0,7.0,1
2020-09-23,6.0,6.0,1
2020-09-24,10.0,10.0,1
2020-09-25,6.0,6.0,1
2020-09-26,7.0,7.0,1
2020-09-27,4.0,4.0,1
2020-09-28,7.0,7.0,1
2020-09-29,9.0,9.0,1
2020-09-30,11.0,11.0,1
2020-10-01,12.0,12.0,1
2020-10-02,2.0,2.0,1
2020-10-03,7.0,7.0,1
2020-10-04,4.0,4.0,1
2020-10-05,8.0,8.0,1
2020-10-06,9.0,9.0,1
2020-10-07,19.0,19.0,1
2020-10-08,10.0,10.0,1
2020-10-09,12.0,12.0,1
2020-10-10,10.0,10.0,1
2020-10-11,3.0,3.0,1
2020-10-12,8.0,8.0,1
2020-10-13,14.0,14.0,1
2020-10-14,12.0,12.0,1
2020-10-15,9.0,9.0,1
2020-10-16,9.0,9.0,1
2020-10-17,8.0,8.0,1
2020-10-18,13.0,13.0,1
2020-10-19,12.0,12.0,1
2020-10-20,8.0,8.0,1
2020-10-21,11.0,11.0,1
2020-10-22,14.0,14.0,1
2020-10-23,15.0,15.0,1
2020-10-24,13.0,13.0,1
2020-10-25,11.0,11.0,1
2020-10-26,16.0,16.0,1
2020-10-27,15.0,15.0,1
2020-09-28,16.0,16.0,2
2020-09-29,42.0,42.0,2
2020-09-30,52.0,52.0,2
2020-10-01,51.0,51.0,2
2020-10-02,31.0,31.0,2
2020-10-03,23.0,23.0,2
2020-10-04,27.0,27.0,2
2020-10-05,25.0,25.0,2
2020-10-06,41.0,41.0,2
2020-10-07,87.0,87.0,2
2020-10-08,48.0,48.0,2
2020-10-09,40.0,40.0,2
2020-10-10,74.0,74.0,2
2020-10-11,57.0,57.0,2
2020-10-12,22.0,22.0,2
2020-10-13,65.0,65.0,2
2020-10-14,69.0,69.0,2
2020-10-15,33.0,33.0,2
2020-10-16,35.0,35.0,2
2020-10-17,43.0,43.0,2
2020-10-18,57.0,57.0,2
2020-10-19,28.0,28.0,2
2020-10-20,59.0,59.0,2
2020-10-21,27.0,27.0,2
2020-10-22,39.0,39.0,2
2020-10-23,44.0,44.0,2
2020-10-24,54.0,54.0,2
2020-10-25,80.0,80.0,2
2020-10-26,63.0,63.0,2
2020-10-27,100.0,100.0,2
2020-10-28,75.0,75.0,2
2020-10-29,52.0,52.0,2
2020-10-30,49.0,49.0,2
2020-10-31,47.0,47.0,2
2020-11-01,73.0,73.0,2
2020-11-02,35.0,35.0,2
2020-11-03,45.0,45.0,2
2020-11-04,54.0,54.0,2
2020-11-05,19.0,19.0,2
2020-11-06,34.0,34.0,2
2020-11-07,55.0,55.0,2
2020-11-08,66.0,66.0,2
2020-11-09,49.0,49.0,2
2020-11-10,45.0,45.0,2
2020-11-11,39.0,39.0,2
2020-11-12,25.0,25.0,2
2020-11-13,40.0,40.0,2
2020-11-14,16.0,16.0,2
2020-11-15,51.0,51.0,2
2020-11-16,15.0,15.0,2
2020-11-17,30.0,30.0,2
2020-11-18,5.0,5.0,2
2020-11-19,15.0,15.0,2
2020-11-20,21.0,21.0,2
2020-11-21,37.0,37.0,2
2020-11-22,21.0,21.0,2
2020-11-23,10.0,10.0,2
2020-11-24,44.0,44.0,2
2020-11-25,39.0,39.0,2
2020-11-26,10.0,10.0,2
2020-11-27,25.0,25.0,2
2020-11-28,0.0,0.0,2
2020-11-29,31.0,31.0,2
2020-11-30,15.0,15.0,2
2020-12-01,30.0,30.0,2
2020-12-02,15.0,15.0,2
2020-12-03,10.0,10.0,2
2020-12-04,5.0,5.0,2
2020-12-05,15.0,15.0,2
2020-12-06,5.0,5.0,2
2020-12-07,20.0,20.0,2
2020-12-08,25.0,25.0,2
2020-12-09,10.0,10.0,2
2020-12-10,25.0,25.0,2
2020-12-11,21.0,21.0,2
2020-12-12,11.0,11.0,2
2020-12-13,11.0,11.0,2
2020-12-14,15.0,15.0,2
2020-12-15,21.0,21.0,2
2020-12-16,21.0,21.0,2
2020-12-17,11.0,11.0,2
2020-12-18,34.0,34.0,2
2020-12-19,17.0,17.0,2
2020-12-20,35.0,35.0,2
2020-12-21,5.0,5.0,2
2020-12-22,11.0,11.0,2
2020-12-23,40.0,40.0,2
2020-12-24,26.0,26.0,2
2020-12-25,7.0,7.0,2
2020-12-26,19.0,19.0,2
2020-12-27,35.0,35.0,2
2020-12-28,11.0,11.0,2
2020-12-29,45.0,45.0,2
2020-12-30,6.0,6.0,2
2020-12-31,6.0,6.0,2
2021-01-01,13.0,13.0,2
2021-01-02,30.0,30.0,2
2021-01-03,17.0,17.0,2
2021-01-04,15.0,15.0,2
2021-01-05,11.0,11.0,2
2021-01-06,16.0,16.0,2
2021-01-07,16.0,16.0,2
2021-01-08,43.0,43.0,2
2021-01-09,35.0,35.0,2
2021-01-10,18.0,18.0,2
2021-01-11,21.0,21.0,2
2021-01-12,32.0,32.0,2
2021-01-13,21.0,21.0,2
2021-01-14,32.0,32.0,2
2021-01-15,22.0,22.0,2
2021-01-16,17.0,17.0,2
2021-01-17,39.0,39.0,2
2021-01-18,15.0,15.0,2
2021-01-19,47.0,47.0,2
2021-01-20,20.0,20.0,2
2021-01-21,10.0,10.0,2
2021-01-22,5.0,5.0,2
2021-01-23,11.0,11.0,2
2021-01-24,28.0,28.0,2
2021-01-25,31.0,31.0,2
2021-01-26,16.0,16.0,2
2021-01-27,36.0,36.0,2
2021-01-28,16.0,16.0,2
2021-01-29,27.0,27.0,2
2021-01-30,17.0,17.0,2
2021-01-31,0.0,0.0,2
2021-02-01,10.0,10.0,2
2021-02-02,10.0,10.0,2
2021-02-03,15.0,15.0,2
2021-02-04,11.0,11.0,2
2021-02-05,22.0,22.0,2
2021-02-06,22.0,22.0,2
2021-02-07,66.0,66.0,2
2021-02-08,20.0,20.0,2
2021-02-09,26.0,26.0,2
2021-02-10,56.0,56.0,2
2021-02-11,27.0,27.0,2
2021-02-12,32.0,32.0,2
2021-02-13,17.0,17.0,2
2021-02-14,23.0,23.0,2
2021-02-15,32.0,32.0,2
2021-02-16,10.0,10.0,2
2021-02-17,16.0,16.0,2
2021-02-18,32.0,32.0,2
2021-02-19,11.0,11.0,2
2021-02-20,19.0,19.0,2
2021-02-21,12.0,12.0,2
2021-02-22,15.0,15.0,2
2021-02-23,22.0,22.0,2
2021-02-24,5.0,5.0,2
2021-02-25,39.0,39.0,2
2021-02-26,49.0,49.0,2
2021-02-27,42.0,42.0,2
2021-02-28,54.0,54.0,2
2021-03-01,27.0,27.0,2
2021-03-02,22.0,22.0,2
2021-03-03,37.0,37.0,2
2021-03-04,0.0,0.0,2
2021-03-05,11.0,11.0,2
2021-03-06,6.0,6.0,2
2021-03-07,6.0,6.0,2
2021-03-08,11.0,11.0,2
2021-03-09,27.0,27.0,2
2021-03-10,15.0,15.0,2
2021-03-11,11.0,11.0,2
2021-03-12,27.0,27.0,2
2021-03-13,22.0,22.0,2
2021-03-14,16.0,16.0,2
2021-03-15,8.0,8.0,2
2021-03-16,24.0,24.0,2
2021-03-17,31.0,31.0,2
2021-03-18,16.0,16.0,2
2021-03-19,5.0,5.0,2
2021-03-20,34.0,34.0,2
2021-03-21,17.0,17.0,2
2021-03-22,31.0,31.0,2
2021-03-23,16.0,16.0,2
2021-03-24,11.0,11.0,2
2021-03-25,22.0,22.0,2
2021-03-26,22.0,22.0,2
2021-03-27,42.0,42.0,2
2021-03-28,19.0,19.0,2
2021-03-29,32.0,32.0,2
2021-03-30,39.0,39.0,2
2021-03-31,42.0,42.0,2
2021-04-01,16.0,16.0,2
2021-04-02,17.0,17.0,2
2021-04-03,30.0,30.0,2
2021-04-04,37.0,37.0,2
2021-04-05,23.0,23.0,2
2021-04-06,23.0,23.0,2
2021-04-07,24.0,24.0,2
2021-04-08,35.0,35.0,2
2021-04-09,20.0,20.0,2
2021-04-10,11.0,11.0,2
2021-04-11,11.0,11.0,2
2021-04-12,26.0,26.0,2
2021-04-13,21.0,21.0,2
2021-04-14,26.0,26.0,2
2021-04-15,11.0,11.0,2
2021-04-16,16.0,16.0,2
2021-04-17,23.0,23.0,2
2021-04-18,29.0,29.0,2
2021-04-19,27.0,27.0,2
2021-04-20,21.0,21.0,2
2021-04-21,27.0,27.0,2
2021-04-22,27.0,27.0,2
2021-04-23,11.0,11.0,2
2021-04-24,12.0,12.0,2
2021-04-25,35.0,35.0,2
2021-04-26,25.0,25.0,2
2021-04-27,25.0,25.0,2
2021-04-28,24.0,24.0,2
2021-04-29,15.0,15.0,2
2021-04-30,0.0,0.0,2
2021-05-01,5.0,5.0,2
2021-05-02,6.0,6.0,2
2021-05-03,0.0,0.0,2
2021-05-04,15.0,15.0,2
2021-05-05,36.0,36.0,2
2021-05-06,40.0,40.0,2
2021-05-07,11.0,11.0,2
2021-05-08,0.0,0.0,2
2021-05-09,6.0,6.0,2
2021-05-10,20.0,20.0,2
2021-05-11,5.0,5.0,2
2021-05-12,26.0,26.0,2
2021-05-13,0.0,0.0,2
2021-05-14,45.0,45.0,2
