date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-03-14,69.0,56.0,44.0,44.0,51.0,56.0,38.0,87.0,61.0,49.0,56.06060606060606,0.0
2020-03-15,53.0,72.0,85.0,82.0,55.0,87.0,53.0,100.0,66.0,86.0,74.64646464646465,0.0
2020-03-16,50.0,45.0,44.0,31.0,38.0,57.0,44.0,70.0,61.0,52.0,49.6969696969697,0.0
2020-03-17,28.0,58.0,41.0,37.0,39.0,63.0,35.0,48.0,61.0,55.0,46.96969696969697,0.0
2020-03-18,43.0,45.0,56.0,30.0,35.0,20.0,47.0,66.0,40.0,33.0,41.919191919191924,0.0
2020-03-19,30.0,23.0,27.0,44.0,33.0,48.0,32.0,45.0,28.0,59.0,37.27272727272727,0.0
2020-03-20,40.0,29.0,37.0,23.0,19.0,30.0,34.0,41.0,15.0,33.0,30.40404040404041,0.0
2020-03-21,48.0,39.0,41.0,31.0,28.0,28.0,36.0,35.0,42.0,53.0,38.48484848484848,0.0
2020-03-22,27.0,39.0,48.0,24.0,25.0,42.0,32.0,50.0,38.0,27.0,35.555555555555564,0.0
2020-03-23,56.0,41.0,42.0,53.0,44.0,43.0,48.0,44.0,44.0,44.0,46.36363636363637,0.0
2020-03-24,33.0,32.0,43.0,25.0,23.0,25.0,26.0,34.0,31.0,20.0,29.494949494949488,0.0
2020-03-25,34.0,21.0,28.0,27.0,15.0,31.0,17.0,28.0,34.0,30.0,26.767676767676768,0.0
2020-03-26,24.0,21.0,25.0,19.0,20.0,22.0,44.0,38.0,26.0,24.0,26.565656565656568,0.0
2020-03-27,22.0,33.0,22.0,28.0,23.0,41.0,33.0,21.0,23.0,20.0,26.868686868686872,0.0
2020-03-28,15.0,11.0,34.0,15.0,15.0,11.0,14.0,17.0,24.0,29.0,18.686868686868692,0.0
2020-03-29,17.0,23.0,24.0,17.0,17.0,36.0,13.0,27.0,19.0,15.0,21.01010101010101,0.0
2020-03-30,32.0,25.0,38.0,32.0,12.0,38.0,16.0,42.0,29.0,35.0,30.202020202020197,0.0
2020-03-31,18.0,17.0,18.0,15.0,17.0,15.0,26.0,13.0,28.0,30.0,19.8989898989899,0.0
2020-04-01,28.0,15.0,12.0,28.0,8.0,19.0,26.0,31.0,29.0,27.0,22.525252525252533,0.0
2020-04-02,19.0,25.0,13.0,29.0,16.0,13.0,21.0,25.0,18.0,21.0,20.2020202020202,0.0
2020-04-03,29.0,32.0,16.0,36.0,13.0,27.0,25.0,29.0,21.0,18.0,24.84848484848485,0.0
2020-04-04,8.0,18.0,4.0,19.0,12.0,12.0,14.0,8.0,14.0,8.0,11.818181818181818,0.0
2020-04-05,26.0,26.0,23.0,19.0,12.0,19.0,40.0,30.0,32.0,17.0,24.646464646464647,0.0
2020-04-06,16.0,22.0,7.0,20.0,16.0,13.0,9.0,18.0,12.0,18.0,15.25252525252525,0.0
2020-04-07,10.0,7.0,10.0,10.0,8.0,0.0,10.0,4.0,13.0,8.0,8.080808080808081,0.0
2020-04-08,14.0,10.0,17.0,10.0,8.0,7.0,13.0,19.0,16.0,4.0,11.91919191919192,0.0
2020-04-09,21.0,10.0,10.0,18.0,3.0,14.0,13.0,4.0,10.0,16.0,12.020202020202019,0.0
2020-04-10,4.0,14.0,11.0,15.0,9.0,11.0,0.0,0.0,10.0,8.0,8.282828282828282,0.0
2020-04-11,12.0,28.0,33.0,29.0,17.0,38.0,19.0,27.0,23.0,36.0,26.464646464646464,0.0
2020-04-12,4.0,8.0,20.0,20.0,10.0,29.0,19.0,4.0,4.0,13.0,13.232323232323232,0.0
2020-04-13,10.0,20.0,24.0,21.0,11.0,11.0,13.0,23.0,23.0,23.0,18.08080808080808,0.0
2020-04-14,12.0,9.0,0.0,18.0,5.0,18.0,8.0,17.0,11.0,0.0,9.8989898989899,0.0
2020-04-15,9.0,6.0,3.0,19.0,13.0,13.0,9.0,14.0,12.0,11.0,11.01010101010101,0.0
2020-04-16,16.0,22.0,13.0,16.0,13.0,13.0,6.0,11.0,3.0,21.0,13.535353535353535,0.0
2020-04-17,7.0,10.0,14.0,10.0,17.0,10.0,13.0,8.0,3.0,15.0,10.808080808080806,0.0
2020-04-18,8.0,15.0,12.0,8.0,3.0,12.0,7.0,9.0,4.0,9.0,8.787878787878787,0.0
2020-04-19,10.0,3.0,10.0,10.0,6.0,4.0,6.0,12.0,6.0,8.0,7.575757575757576,0.0
2020-04-20,9.0,15.0,12.0,9.0,2.0,6.0,17.0,10.0,14.0,23.0,11.818181818181818,0.0
2020-04-21,19.0,6.0,13.0,13.0,16.0,6.0,6.0,4.0,15.0,14.0,11.313131313131313,0.0
2020-04-22,0.0,10.0,10.0,20.0,3.0,3.0,3.0,15.0,6.0,11.0,8.181818181818182,0.0
2020-04-23,16.0,9.0,13.0,3.0,5.0,7.0,3.0,4.0,9.0,7.0,7.6767676767676765,0.0
2020-04-24,0.0,7.0,0.0,7.0,9.0,0.0,13.0,8.0,3.0,8.0,5.5555555555555545,0.0
2020-04-25,8.0,0.0,4.0,8.0,16.0,8.0,7.0,4.0,7.0,0.0,6.262626262626263,0.0
2020-04-26,4.0,4.0,0.0,8.0,6.0,8.0,4.0,4.0,3.0,0.0,4.141414141414141,0.0
2020-04-27,3.0,6.0,12.0,12.0,3.0,3.0,9.0,7.0,6.0,14.0,7.575757575757576,0.0
2020-04-28,13.0,6.0,13.0,10.0,13.0,10.0,12.0,7.0,9.0,14.0,10.808080808080806,0.0
2020-04-29,0.0,3.0,6.0,6.0,0.0,6.0,3.0,10.0,11.0,3.0,4.848484848484849,0.0
2020-04-30,10.0,6.0,3.0,6.0,5.0,10.0,6.0,7.0,0.0,7.0,6.0606060606060606,0.0
2020-05-01,4.0,4.0,11.0,4.0,6.0,4.0,11.0,4.0,7.0,0.0,5.5555555555555545,0.0
2020-05-02,7.0,7.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.6262626262626263,0.0
2020-05-03,22.0,10.0,25.0,22.0,9.0,7.0,10.0,4.0,7.0,24.0,14.141414141414142,0.0
2020-05-04,6.0,12.0,6.0,9.0,13.0,10.0,9.0,7.0,9.0,14.0,9.595959595959595,0.0
2020-05-05,0.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0,5.0,0.0,1.9191919191919191,0.0
2020-05-06,0.0,6.0,13.0,3.0,5.0,10.0,12.0,11.0,3.0,18.0,8.181818181818182,0.0
2020-05-07,14.0,10.0,0.0,10.0,3.0,14.0,10.0,12.0,6.0,8.0,8.787878787878787,0.0
2020-05-08,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,2.727272727272727,0.0
2020-05-09,0.0,0.0,8.0,0.0,7.0,4.0,0.0,5.0,4.0,0.0,2.8282828282828283,0.0
2020-05-10,0.0,4.0,4.0,12.0,6.0,4.0,7.0,4.0,7.0,4.0,5.252525252525253,0.0
2020-05-11,0.0,0.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,3.0,1.414141414141414,0.0
2020-05-12,16.0,9.0,6.0,16.0,5.0,6.0,12.0,11.0,9.0,7.0,9.797979797979798,0.0
2020-05-13,3.0,9.0,6.0,6.0,5.0,3.0,9.0,0.0,9.0,0.0,5.05050505050505,0.0
2020-05-14,3.0,3.0,3.0,3.0,0.0,7.0,3.0,4.0,3.0,4.0,3.333333333333333,0.0
2020-05-15,7.0,6.0,10.0,7.0,3.0,0.0,0.0,7.0,6.0,7.0,5.353535353535354,0.0
2020-05-16,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,2.121212121212121,0.0
2020-05-17,12.0,4.0,0.0,0.0,3.0,12.0,11.0,0.0,0.0,0.0,4.242424242424242,0.0
2020-05-18,0.0,3.0,7.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,2.525252525252525,0.0
2020-05-19,7.0,6.0,3.0,16.0,14.0,17.0,9.0,15.0,9.0,11.0,10.808080808080806,0.0
2020-05-20,0.0,7.0,3.0,3.0,3.0,3.0,0.0,8.0,6.0,0.0,3.333333333333333,0.0
2020-05-21,0.0,0.0,4.0,8.0,0.0,4.0,4.0,4.0,7.0,4.0,3.5353535353535355,0.0
2020-05-22,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,1.1111111111111112,0.0
2020-05-23,4.0,7.0,12.0,12.0,6.0,8.0,11.0,9.0,7.0,9.0,8.585858585858588,0.0
2020-05-24,4.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,1.818181818181818,0.0
2020-05-25,0.0,0.0,6.0,0.0,0.0,6.0,0.0,10.0,3.0,0.0,2.525252525252525,0.0
2020-05-26,9.0,3.0,6.0,3.0,3.0,3.0,3.0,0.0,3.0,7.0,4.040404040404041,0.0
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,6.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,4.0,2.6262626262626263,0.0
2020-05-29,10.0,7.0,3.0,7.0,6.0,7.0,6.0,8.0,0.0,12.0,6.666666666666668,0.0
2020-05-30,12.0,0.0,4.0,4.0,3.0,8.0,7.0,0.0,0.0,4.0,4.242424242424242,0.0
2020-05-31,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.323232323232323,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,13.0,6.0,7.0,6.0,5.0,7.0,0.0,7.0,6.0,4.0,6.161616161616162,0.0
2020-06-03,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,2.121212121212121,0.0
2020-06-04,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.6060606060606061,0.0
2020-06-05,0.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,1.414141414141414,0.0
2020-06-06,4.0,12.0,4.0,12.0,0.0,8.0,0.0,13.0,4.0,13.0,7.070707070707071,0.0
2020-06-07,4.0,11.0,18.0,18.0,9.0,0.0,10.0,16.0,10.0,8.0,10.505050505050503,0.0
2020-06-08,3.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,5.0,3.0,2.2222222222222223,0.0
2020-06-09,3.0,8.0,9.0,3.0,2.0,3.0,3.0,7.0,3.0,3.0,4.4444444444444455,0.0
2020-06-10,6.0,6.0,6.0,3.0,3.0,10.0,3.0,0.0,6.0,3.0,4.646464646464646,0.0
2020-06-11,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0
2020-06-12,0.0,4.0,4.0,8.0,9.0,4.0,7.0,9.0,4.0,4.0,5.353535353535354,0.0
2020-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,9.0,3.0,3.0,3.0,7.0,0.0,6.0,3.0,6.0,3.0,4.343434343434343,0.0
2020-06-16,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,1.5151515151515151,0.0
2020-06-17,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.5151515151515151,0.0
2020-06-18,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.9090909090909092,0.0
2020-06-19,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,3.0,7.0,2.4242424242424243,0.0
2020-06-20,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,1.2121212121212122,0.0
2020-06-21,4.0,3.0,4.0,0.0,3.0,7.0,7.0,4.0,0.0,4.0,3.636363636363636,0.0
2020-06-22,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.616161616161616,0.0
2020-06-23,7.0,13.0,7.0,7.0,8.0,3.0,3.0,8.0,3.0,11.0,7.070707070707071,0.0
2020-06-24,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7070707070707071,0.0
2020-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.414141414141414,0.0
2020-06-27,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8080808080808081,0.0
2020-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6060606060606061,0.0
2020-06-30,3.0,6.0,0.0,3.0,3.0,7.0,0.0,4.0,6.0,4.0,3.636363636363636,0.0
2020-07-01,3.0,6.0,0.0,7.0,0.0,3.0,6.0,7.0,0.0,11.0,4.343434343434343,0.0
2020-07-02,3.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,0.0,1.9191919191919191,0.0
2020-07-03,0.0,7.0,0.0,7.0,6.0,0.0,0.0,4.0,0.0,4.0,2.8282828282828283,0.0
2020-07-04,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,0.0,0.0,1.7171717171717171,0.0
2020-07-05,4.0,4.0,4.0,4.0,0.0,0.0,4.0,9.0,4.0,5.0,3.8383838383838382,0.0
2020-07-06,6.0,9.0,13.0,6.0,8.0,10.0,12.0,22.0,3.0,14.0,10.404040404040405,0.0
2020-07-07,13.0,10.0,17.0,13.0,11.0,10.0,16.0,23.0,9.0,22.0,14.545454545454545,0.0
2020-07-08,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,3.0,0.0,1.7171717171717171,0.0
2020-07-09,7.0,10.0,4.0,7.0,3.0,11.0,3.0,12.0,10.0,4.0,7.171717171717173,0.0
2020-07-10,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,4.0,1.5151515151515151,0.0
2020-07-11,4.0,7.0,8.0,8.0,6.0,15.0,4.0,4.0,0.0,4.0,6.0606060606060606,0.0
2020-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,0.0,7.0,3.0,3.0,9.0,11.0,0.0,0.0,6.0,0.0,3.939393939393939,0.0
2020-07-14,4.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,8.0,2.525252525252525,0.0
2020-07-15,3.0,3.0,3.0,3.0,6.0,3.0,3.0,8.0,3.0,15.0,5.05050505050505,0.0
2020-07-16,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,4.0,1.3131313131313131,0.0
2020-07-17,4.0,0.0,7.0,11.0,3.0,4.0,7.0,8.0,6.0,0.0,5.05050505050505,0.0
2020-07-18,4.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.616161616161616,0.0
2020-07-19,4.0,8.0,4.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,2.727272727272727,0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,1.1111111111111112,0.0
2020-07-21,3.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0.0,4.0,2.121212121212121,0.0
2020-07-22,7.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,4.0,2.4242424242424243,0.0
2020-07-23,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9090909090909092,0.0
2020-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.30303030303030304,0.0
2020-07-25,4.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,1.818181818181818,0.0
2020-07-26,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.2121212121212122,0.0
2020-07-27,11.0,7.0,7.0,0.0,3.0,4.0,3.0,0.0,3.0,4.0,4.242424242424242,0.0
2020-07-28,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,0.0,1.3131313131313131,0.0
2020-07-29,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.8080808080808081,0.0
2020-07-30,4.0,3.0,0.0,7.0,0.0,7.0,3.0,4.0,3.0,4.0,3.5353535353535355,0.0
2020-07-31,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,4.0,1.9191919191919191,0.0
2020-08-01,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.3131313131313131,0.0
2020-08-02,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,2.4242424242424243,0.0
2020-08-03,6.0,3.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,3.0,2.525252525252525,0.0
2020-08-04,6.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,7.0,2.8282828282828283,0.0
2020-08-05,7.0,0.0,7.0,3.0,3.0,3.0,3.0,4.0,6.0,0.0,3.636363636363636,0.0
2020-08-06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8080808080808081,0.0
2020-08-07,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.8080808080808081,0.0
2020-08-08,5.0,9.0,0.0,9.0,0.0,5.0,4.0,5.0,9.0,10.0,5.656565656565657,0.0
2020-08-09,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,5.0,2.929292929292929,0.0
2020-08-10,3.0,3.0,3.0,3.0,6.0,4.0,3.0,4.0,3.0,4.0,3.636363636363636,0.0
2020-08-11,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0101010101010102,0.0
2020-08-12,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.9090909090909092,0.0
2020-08-13,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,1.9191919191919191,0.0
2020-08-14,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.414141414141414,0.0
2020-08-15,8.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,2.8282828282828283,0.0
2020-08-16,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,1.616161616161616,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.7070707070707071,0.0
2020-08-18,13.0,13.0,7.0,10.0,8.0,10.0,15.0,14.0,9.0,11.0,11.111111111111109,0.0
2020-08-19,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.414141414141414,0.0
2020-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
