date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s,batch_id
2020-01-25,29.0,17.0,18.0,33.0,32.0,26.0,21.0,23.0,22.0,42.0,28.27956989247312,0
2020-01-26,22.0,10.0,21.0,23.0,16.0,17.0,16.0,13.0,18.0,29.0,19.892473118279568,0
2020-01-27,25.0,18.0,18.0,17.0,13.0,12.0,21.0,19.0,8.0,13.0,17.634408602150536,0
2020-01-28,6.0,12.0,12.0,6.0,7.0,15.0,18.0,11.0,8.0,13.0,11.612903225806452,0
2020-01-29,10.0,21.0,25.0,12.0,14.0,13.0,22.0,26.0,16.0,10.0,18.172043010752684,0
2020-01-30,26.0,25.0,19.0,15.0,28.0,21.0,22.0,12.0,14.0,7.0,20.32258064516129,0
2020-01-31,14.0,6.0,10.0,15.0,15.0,14.0,11.0,6.0,9.0,18.0,12.688172043010752,0
2020-02-01,4.0,10.0,11.0,17.0,16.0,12.0,17.0,16.0,9.0,7.0,12.795698924731182,0
2020-02-02,14.0,20.0,20.0,9.0,8.0,11.0,8.0,16.0,9.0,14.0,13.870967741935484,0
2020-02-03,12.0,8.0,14.0,3.0,16.0,9.0,13.0,18.0,8.0,18.0,12.795698924731182,0
2020-02-04,13.0,12.0,13.0,3.0,14.0,10.0,15.0,11.0,16.0,17.0,13.333333333333334,0
2020-02-05,10.0,3.0,13.0,9.0,11.0,5.0,4.0,3.0,11.0,10.0,8.494623655913978,0
2020-02-06,7.0,19.0,7.0,12.0,4.0,11.0,19.0,6.0,12.0,21.0,12.688172043010752,0
2020-02-07,3.0,3.0,0.0,12.0,7.0,8.0,4.0,0.0,0.0,14.0,5.483870967741935,0
2020-02-08,15.0,17.0,4.0,17.0,12.0,12.0,21.0,13.0,9.0,4.0,13.333333333333334,0
2020-02-09,7.0,6.0,6.0,6.0,4.0,3.0,8.0,3.0,6.0,7.0,6.021505376344086,0
2020-02-10,9.0,3.0,6.0,8.0,0.0,5.0,7.0,8.0,8.0,3.0,6.129032258064516,0
2020-02-11,0.0,6.0,3.0,3.0,3.0,8.0,0.0,3.0,0.0,13.0,4.193548387096774,0
2020-02-12,6.0,3.0,9.0,0.0,0.0,3.0,7.0,3.0,8.0,3.0,4.516129032258065,0
2020-02-13,3.0,9.0,12.0,12.0,7.0,5.0,4.0,6.0,3.0,7.0,7.311827956989247,0
2020-02-14,0.0,6.0,10.0,6.0,0.0,5.0,4.0,6.0,3.0,7.0,5.053763440860215,0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.6451612903225806,0
2020-02-16,7.0,10.0,10.0,6.0,11.0,8.0,8.0,0.0,9.0,7.0,8.172043010752688,0
2020-02-17,3.0,3.0,3.0,0.0,7.0,5.0,4.0,6.0,3.0,6.0,4.301075268817204,0
2020-02-18,9.0,12.0,6.0,6.0,10.0,0.0,7.0,6.0,3.0,3.0,6.666666666666667,0
2020-02-19,3.0,12.0,6.0,9.0,7.0,10.0,7.0,6.0,8.0,3.0,7.634408602150538,0
2020-02-20,0.0,0.0,3.0,3.0,7.0,3.0,4.0,6.0,8.0,3.0,3.978494623655914,0
2020-02-21,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.7526881720430108,0
2020-02-22,11.0,17.0,11.0,26.0,8.0,9.0,21.0,20.0,19.0,11.0,16.451612903225808,0
2020-02-23,46.0,36.0,37.0,35.0,46.0,28.0,48.0,37.0,33.0,33.0,40.75268817204301,0
2020-02-24,35.0,27.0,46.0,31.0,34.0,15.0,36.0,20.0,32.0,36.0,33.54838709677419,0
2020-02-25,19.0,18.0,25.0,32.0,17.0,46.0,36.0,31.0,25.0,29.0,29.892473118279568,0
2020-02-26,28.0,15.0,18.0,14.0,34.0,15.0,14.0,20.0,19.0,32.0,22.473118279569892,0
2020-02-27,15.0,20.0,18.0,19.0,27.0,7.0,25.0,17.0,24.0,10.0,19.56989247311828,0
2020-02-28,20.0,32.0,20.0,15.0,14.0,27.0,15.0,9.0,9.0,10.0,18.38709677419355,0
2020-02-29,14.0,30.0,14.0,10.0,16.0,23.0,29.0,19.0,18.0,22.0,20.967741935483872,0
2020-03-01,31.0,33.0,37.0,31.0,44.0,30.0,27.0,36.0,21.0,32.0,34.6236559139785,0
2020-03-02,33.0,17.0,12.0,11.0,23.0,14.0,27.0,27.0,15.0,19.0,21.29032258064516,0
2020-03-03,25.0,27.0,24.0,22.0,30.0,30.0,46.0,34.0,21.0,16.0,29.56989247311828,0
2020-03-04,16.0,18.0,18.0,17.0,20.0,10.0,14.0,25.0,16.0,29.0,19.677419354838708,0
2020-03-05,25.0,6.0,24.0,22.0,31.0,15.0,32.0,14.0,27.0,32.0,24.516129032258064,0
2020-03-06,16.0,24.0,13.0,26.0,21.0,21.0,36.0,17.0,8.0,20.0,21.72043010752688,0
2020-03-07,22.0,7.0,14.0,23.0,8.0,21.0,25.0,13.0,22.0,19.0,18.709677419354836,0
2020-03-08,21.0,22.0,20.0,21.0,33.0,8.0,27.0,18.0,20.0,25.0,23.118279569892472,0
2020-03-09,12.0,3.0,9.0,14.0,16.0,5.0,21.0,16.0,16.0,9.0,13.010752688172044,0
2020-03-10,12.0,20.0,23.0,30.0,16.0,19.0,34.0,27.0,23.0,22.0,24.301075268817204,0
2020-03-11,75.0,100.0,61.0,73.0,81.0,50.0,81.0,64.0,76.0,70.0,78.6021505376344,0
2020-03-12,100.0,78.0,83.0,100.0,95.0,74.0,100.0,100.0,100.0,100.0,100.0,0
2020-03-13,82.0,96.0,53.0,83.0,100.0,57.0,89.0,76.0,78.0,84.0,85.80645161290323,0
2020-03-14,50.0,64.0,59.0,48.0,82.0,37.0,61.0,51.0,64.0,78.0,63.87096774193548,0
2020-03-15,81.0,51.0,85.0,79.0,100.0,48.0,28.0,76.0,63.0,88.0,75.16129032258065,0
2020-03-16,81.0,68.0,100.0,56.0,77.0,71.0,68.0,82.0,61.0,77.0,79.6774193548387,0
2020-03-17,60.0,51.0,52.0,49.0,56.0,50.0,52.0,56.0,51.0,52.0,56.88172043010753,0
2020-03-18,95.0,75.0,88.0,91.0,92.0,100.0,100.0,67.0,62.0,94.0,92.90322580645162,0
2020-03-19,84.0,80.0,57.0,65.0,88.0,67.0,63.0,60.0,75.0,71.0,76.34408602150538,0
2020-03-20,71.0,70.0,74.0,50.0,85.0,66.0,67.0,65.0,47.0,66.0,71.07526881720429,0
2020-03-21,38.0,33.0,67.0,41.0,45.0,44.0,79.0,78.0,53.0,36.0,55.26881720430107,0
2020-03-22,66.0,63.0,51.0,56.0,60.0,55.0,51.0,71.0,54.0,55.0,62.58064516129032,0
2020-03-23,54.0,48.0,55.0,40.0,49.0,43.0,58.0,47.0,43.0,46.0,51.935483870967744,0
2020-03-24,31.0,44.0,45.0,33.0,40.0,47.0,49.0,27.0,39.0,41.0,42.58064516129032,0
2020-03-25,72.0,47.0,52.0,31.0,58.0,38.0,61.0,36.0,37.0,48.0,51.61290322580645,0
2020-03-26,64.0,41.0,59.0,47.0,63.0,49.0,63.0,52.0,52.0,50.0,58.064516129032256,0
2020-03-27,37.0,49.0,19.0,38.0,49.0,22.0,39.0,33.0,36.0,33.0,38.17204301075269,0
2020-03-28,30.0,10.0,23.0,9.0,26.0,21.0,19.0,33.0,17.0,45.0,25.053763440860216,0
2020-03-29,55.0,48.0,69.0,52.0,56.0,44.0,95.0,48.0,52.0,73.0,63.655913978494624,0
2020-03-30,37.0,33.0,36.0,31.0,40.0,25.0,36.0,33.0,37.0,41.0,37.526881720430104,0
2020-03-31,38.0,38.0,50.0,45.0,37.0,32.0,39.0,8.0,27.0,65.0,40.75268817204301,0
2020-04-01,36.0,19.0,20.0,21.0,13.0,7.0,17.0,13.0,18.0,24.0,20.21505376344086,0
2020-04-02,40.0,30.0,28.0,36.0,28.0,32.0,19.0,23.0,27.0,36.0,32.1505376344086,0
2020-04-03,18.0,36.0,29.0,13.0,29.0,28.0,40.0,16.0,17.0,30.0,27.526881720430108,0
2020-04-04,21.0,24.0,17.0,22.0,15.0,23.0,28.0,16.0,15.0,15.0,21.075268817204304,0
2020-04-05,19.0,21.0,14.0,3.0,24.0,6.0,25.0,3.0,0.0,23.0,14.838709677419354,0
2020-04-06,18.0,16.0,14.0,13.0,19.0,9.0,27.0,18.0,20.0,18.0,18.49462365591398,0
2020-04-07,6.0,9.0,15.0,22.0,23.0,17.0,21.0,14.0,18.0,29.0,18.709677419354836,0
2020-04-08,16.0,26.0,3.0,20.0,13.0,15.0,21.0,19.0,24.0,22.0,19.247311827956988,0
2020-04-09,9.0,6.0,12.0,11.0,13.0,7.0,7.0,17.0,16.0,13.0,11.935483870967742,0
2020-04-10,16.0,21.0,25.0,23.0,34.0,15.0,11.0,20.0,19.0,23.0,22.258064516129032,0
2020-04-11,25.0,17.0,28.0,19.0,15.0,14.0,16.0,22.0,15.0,22.0,20.752688172043012,0
2020-04-12,27.0,23.0,20.0,18.0,26.0,16.0,19.0,21.0,32.0,35.0,25.483870967741936,0
2020-04-13,34.0,38.0,33.0,11.0,30.0,32.0,38.0,30.0,24.0,19.0,31.0752688172043,0
2020-04-14,14.0,16.0,25.0,10.0,25.0,16.0,13.0,16.0,15.0,18.0,18.06451612903226,0
2020-04-15,12.0,23.0,6.0,11.0,6.0,12.0,24.0,11.0,10.0,15.0,13.978494623655914,0
2020-04-16,15.0,9.0,9.0,6.0,17.0,17.0,14.0,25.0,5.0,19.0,14.623655913978494,0
2020-04-17,9.0,17.0,9.0,14.0,10.0,10.0,21.0,8.0,13.0,16.0,13.655913978494624,0
2020-04-18,12.0,6.0,15.0,8.0,7.0,7.0,11.0,11.0,5.0,16.0,10.537634408602152,0
2020-04-19,23.0,15.0,12.0,12.0,17.0,18.0,22.0,14.0,16.0,16.0,17.741935483870968,0
2020-04-20,14.0,11.0,11.0,8.0,18.0,7.0,16.0,10.0,14.0,14.0,13.225806451612904,0
2020-04-21,15.0,16.0,22.0,13.0,22.0,14.0,16.0,15.0,12.0,18.0,17.526881720430108,0
2020-04-22,15.0,14.0,9.0,11.0,13.0,9.0,13.0,18.0,18.0,18.0,14.838709677419354,0
2020-04-23,12.0,11.0,17.0,13.0,16.0,9.0,7.0,3.0,15.0,21.0,13.333333333333334,0
2020-04-24,12.0,17.0,11.0,21.0,19.0,12.0,29.0,5.0,7.0,24.0,16.881720430107528,0
2020-04-25,10.0,3.0,10.0,12.0,25.0,19.0,15.0,18.0,20.0,21.0,16.451612903225808,0
2020-04-26,14.0,10.0,3.0,9.0,11.0,11.0,16.0,9.0,14.0,11.0,11.612903225806452,0
2020-04-27,9.0,5.0,11.0,10.0,9.0,7.0,3.0,10.0,2.0,6.0,7.741935483870968,0
2020-04-28,19.0,8.0,8.0,12.0,21.0,6.0,19.0,17.0,12.0,17.0,14.946236559139784,0
2020-04-29,8.0,8.0,5.0,5.0,9.0,11.0,6.0,2.0,5.0,6.0,6.989247311827957,0
2020-04-30,5.0,3.0,3.0,12.0,6.0,6.0,6.0,2.0,5.0,3.0,5.483870967741935,0
2020-05-01,3.0,6.0,9.0,16.0,13.0,9.0,13.0,8.0,10.0,15.0,10.96774193548387,0
2020-05-02,37.0,15.0,21.0,30.0,34.0,15.0,31.0,25.0,18.0,19.0,26.344086021505376,0
2020-05-03,13.0,15.0,9.0,6.0,14.0,5.0,15.0,11.0,0.0,16.0,11.182795698924732,0
2020-05-04,11.0,3.0,13.0,7.0,12.0,11.0,15.0,12.0,11.0,11.0,11.397849462365592,0
2020-05-05,19.0,15.0,21.0,7.0,20.0,17.0,30.0,19.0,18.0,14.0,19.35483870967742,0
2020-05-06,15.0,8.0,11.0,13.0,9.0,5.0,16.0,5.0,12.0,15.0,11.720430107526882,0
2020-05-07,6.0,6.0,6.0,5.0,13.0,2.0,7.0,13.0,15.0,12.0,9.13978494623656,0
2020-05-08,9.0,12.0,18.0,11.0,26.0,10.0,10.0,11.0,8.0,16.0,14.086021505376344,0
2020-05-09,11.0,10.0,3.0,10.0,0.0,6.0,12.0,6.0,6.0,0.0,6.881720430107527,0
2020-05-10,6.0,15.0,15.0,9.0,10.0,10.0,18.0,14.0,11.0,10.0,12.688172043010752,0
2020-05-11,3.0,5.0,5.0,7.0,0.0,11.0,9.0,12.0,7.0,8.0,7.204301075268817,0
2020-05-12,14.0,11.0,0.0,8.0,12.0,4.0,6.0,7.0,5.0,17.0,9.03225806451613,0
2020-05-13,17.0,11.0,16.0,18.0,12.0,14.0,10.0,30.0,7.0,9.0,15.483870967741936,0
2020-05-14,9.0,3.0,11.0,5.0,12.0,0.0,10.0,8.0,10.0,6.0,7.956989247311828,0
2020-05-15,6.0,17.0,9.0,3.0,23.0,17.0,14.0,13.0,10.0,19.0,14.086021505376344,0
2020-05-16,21.0,6.0,7.0,3.0,22.0,16.0,27.0,24.0,20.0,7.0,16.451612903225808,0
2020-05-17,11.0,10.0,10.0,13.0,15.0,6.0,12.0,12.0,18.0,11.0,12.688172043010752,0
2020-05-18,9.0,0.0,6.0,8.0,9.0,5.0,10.0,5.0,2.0,3.0,6.129032258064516,0
2020-05-19,3.0,0.0,9.0,3.0,6.0,12.0,3.0,3.0,3.0,6.0,5.161290322580645,0
2020-05-20,6.0,3.0,6.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,3.010752688172043,0
2020-05-21,3.0,10.0,7.0,9.0,7.0,5.0,8.0,12.0,3.0,7.0,7.634408602150538,0
2020-05-22,12.0,6.0,3.0,8.0,3.0,5.0,7.0,5.0,0.0,9.0,6.236559139784946,0
2020-05-23,6.0,9.0,9.0,15.0,0.0,5.0,4.0,8.0,0.0,7.0,6.774193548387097,0
2020-05-24,13.0,12.0,0.0,3.0,3.0,3.0,7.0,3.0,0.0,10.0,5.806451612903226,0
2020-05-25,20.0,8.0,11.0,10.0,6.0,2.0,10.0,5.0,7.0,12.0,9.78494623655914,0
2020-05-26,3.0,14.0,11.0,3.0,3.0,7.0,10.0,3.0,5.0,6.0,6.989247311827957,0
2020-05-27,6.0,17.0,20.0,10.0,12.0,14.0,23.0,13.0,17.0,9.0,15.161290322580646,0
2020-05-28,9.0,6.0,6.0,5.0,13.0,2.0,3.0,3.0,12.0,3.0,6.666666666666667,0
2020-05-29,6.0,9.0,6.0,3.0,13.0,7.0,14.0,8.0,3.0,9.0,8.387096774193548,0
2020-05-30,10.0,3.0,3.0,6.0,7.0,8.0,4.0,3.0,6.0,7.0,6.129032258064516,0
2020-05-31,3.0,0.0,3.0,6.0,4.0,6.0,4.0,3.0,6.0,0.0,3.763440860215054,0
2020-06-01,6.0,0.0,12.0,3.0,14.0,8.0,7.0,11.0,5.0,7.0,7.849462365591398,0
2020-06-02,6.0,5.0,0.0,13.0,6.0,7.0,13.0,12.0,7.0,12.0,8.709677419354838,0
2020-06-03,5.0,2.0,8.0,7.0,3.0,8.0,6.0,9.0,7.0,5.0,6.451612903225806,0
2020-06-04,8.0,5.0,5.0,7.0,11.0,2.0,3.0,7.0,6.0,8.0,6.666666666666667,0
2020-06-05,0.0,2.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,1.3978494623655915,0
2020-06-06,3.0,0.0,3.0,3.0,3.0,2.0,7.0,8.0,0.0,6.0,3.763440860215054,0
2020-06-07,12.0,3.0,6.0,6.0,0.0,5.0,0.0,8.0,5.0,3.0,5.161290322580645,0
2020-06-08,13.0,12.0,10.0,4.0,11.0,8.0,6.0,9.0,2.0,13.0,9.46236559139785,0
2020-06-09,5.0,3.0,15.0,5.0,0.0,8.0,9.0,5.0,9.0,5.0,6.881720430107527,0
2020-06-10,0.0,0.0,5.0,2.0,3.0,2.0,0.0,2.0,0.0,3.0,1.8279569892473118,0
2020-06-11,6.0,0.0,5.0,5.0,6.0,2.0,13.0,2.0,2.0,3.0,4.731182795698925,0
2020-06-12,6.0,3.0,3.0,10.0,3.0,7.0,3.0,10.0,2.0,0.0,5.053763440860215,0
2020-06-13,3.0,0.0,3.0,3.0,11.0,3.0,4.0,6.0,3.0,3.0,4.193548387096774,0
2020-06-14,3.0,6.0,10.0,9.0,11.0,5.0,11.0,6.0,11.0,14.0,9.24731182795699,0
2020-06-15,14.0,11.0,13.0,10.0,6.0,13.0,6.0,5.0,12.0,8.0,10.537634408602152,0
2020-06-16,3.0,8.0,8.0,5.0,9.0,4.0,9.0,0.0,7.0,5.0,6.236559139784946,0
2020-06-17,3.0,8.0,8.0,5.0,15.0,6.0,12.0,2.0,9.0,3.0,7.634408602150538,0
2020-06-18,3.0,13.0,5.0,5.0,0.0,2.0,0.0,5.0,2.0,6.0,4.408602150537634,0
2020-06-19,0.0,6.0,0.0,5.0,6.0,5.0,3.0,8.0,5.0,6.0,4.731182795698925,0
2020-06-20,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.967741935483871,0
2020-06-21,10.0,9.0,6.0,6.0,0.0,3.0,4.0,0.0,8.0,3.0,5.268817204301076,0
2020-06-22,9.0,11.0,6.0,8.0,6.0,11.0,10.0,8.0,15.0,6.0,9.67741935483871,0
2020-06-23,6.0,3.0,15.0,8.0,16.0,7.0,7.0,8.0,5.0,9.0,9.03225806451613,0
2020-06-24,0.0,0.0,0.0,3.0,3.0,5.0,7.0,3.0,5.0,3.0,3.118279569892473,0
2020-06-25,6.0,6.0,3.0,8.0,3.0,5.0,0.0,3.0,5.0,6.0,4.838709677419355,0
2020-06-26,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.6129032258064515,0
2020-06-27,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.2903225806451613,0
2020-06-28,6.0,6.0,3.0,0.0,3.0,0.0,4.0,3.0,3.0,7.0,3.763440860215054,0
2020-06-29,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.8602150537634409,0
2020-06-30,3.0,0.0,3.0,3.0,9.0,5.0,7.0,10.0,5.0,0.0,4.838709677419355,0
2020-07-01,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,2.0,3.0,1.7204301075268817,0
2020-07-02,3.0,6.0,3.0,3.0,13.0,5.0,7.0,3.0,10.0,6.0,6.344086021505376,0
2020-07-03,0.0,0.0,3.0,0.0,3.0,3.0,4.0,6.0,3.0,3.0,2.6881720430107525,0
2020-07-04,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.8602150537634409,0
2020-07-05,7.0,3.0,10.0,0.0,0.0,11.0,4.0,3.0,3.0,7.0,5.161290322580645,0
2020-07-06,24.0,8.0,14.0,24.0,19.0,7.0,13.0,11.0,13.0,21.0,16.559139784946236,0
2020-07-07,3.0,3.0,15.0,3.0,10.0,2.0,11.0,3.0,5.0,10.0,6.989247311827957,0
2020-07-08,9.0,6.0,9.0,3.0,6.0,5.0,7.0,8.0,5.0,9.0,7.204301075268817,0
2020-07-09,3.0,0.0,9.0,3.0,7.0,10.0,4.0,3.0,3.0,3.0,4.838709677419355,0
2020-07-10,7.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,3.118279569892473,0
2020-07-11,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.2903225806451613,0
2020-07-12,4.0,0.0,4.0,7.0,0.0,6.0,0.0,3.0,3.0,4.0,3.3333333333333335,0
2020-07-13,3.0,0.0,0.0,3.0,7.0,3.0,4.0,0.0,3.0,7.0,3.225806451612903,0
2020-07-14,6.0,0.0,3.0,3.0,13.0,5.0,7.0,8.0,13.0,6.0,6.881720430107527,0
2020-07-15,6.0,9.0,12.0,12.0,10.0,8.0,15.0,20.0,14.0,10.0,12.473118279569892,0
2020-07-16,10.0,6.0,6.0,6.0,7.0,8.0,7.0,11.0,0.0,0.0,6.559139784946237,0
2020-07-17,4.0,3.0,10.0,0.0,0.0,3.0,4.0,0.0,3.0,11.0,4.086021505376344,0
2020-07-18,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.3978494623655915,0
2020-07-19,8.0,11.0,4.0,7.0,9.0,6.0,0.0,4.0,3.0,4.0,6.021505376344086,0
2020-07-20,4.0,0.0,3.0,3.0,4.0,3.0,8.0,6.0,3.0,4.0,4.086021505376344,0
2020-07-21,0.0,4.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,1.5053763440860215,0
2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-07-23,4.0,10.0,7.0,9.0,4.0,0.0,8.0,0.0,6.0,4.0,5.591397849462366,0
2020-07-24,7.0,3.0,7.0,6.0,7.0,0.0,12.0,0.0,3.0,3.0,5.161290322580645,0
2020-07-25,0.0,0.0,7.0,7.0,8.0,6.0,4.0,3.0,6.0,7.0,5.161290322580645,0
2020-07-26,11.0,10.0,7.0,7.0,12.0,9.0,13.0,7.0,0.0,11.0,9.354838709677418,0
2020-07-27,13.0,3.0,3.0,6.0,3.0,3.0,0.0,6.0,0.0,3.0,4.301075268817204,0
2020-07-28,10.0,6.0,13.0,3.0,7.0,3.0,4.0,6.0,3.0,10.0,6.989247311827957,0
2020-07-29,14.0,10.0,3.0,12.0,14.0,8.0,11.0,6.0,6.0,3.0,9.354838709677418,0
2020-07-30,0.0,3.0,0.0,6.0,8.0,0.0,0.0,3.0,6.0,4.0,3.225806451612903,0
2020-07-31,4.0,10.0,3.0,0.0,11.0,14.0,0.0,3.0,6.0,11.0,6.666666666666667,0
2020-08-01,7.0,14.0,14.0,7.0,12.0,3.0,0.0,3.0,3.0,11.0,7.956989247311828,0
2020-08-02,4.0,3.0,0.0,3.0,4.0,6.0,0.0,9.0,3.0,0.0,3.4408602150537635,0
2020-08-03,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.935483870967742,0
2020-08-04,10.0,3.0,6.0,6.0,7.0,0.0,4.0,3.0,5.0,0.0,4.731182795698925,0
2020-08-05,3.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.3978494623655915,0
2020-08-06,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,1.5053763440860215,0
2020-08-07,3.0,6.0,10.0,6.0,7.0,0.0,0.0,6.0,6.0,7.0,5.483870967741935,0
2020-08-08,0.0,3.0,4.0,3.0,8.0,3.0,0.0,0.0,6.0,4.0,3.3333333333333335,0
2020-08-09,0.0,3.0,7.0,0.0,0.0,0.0,4.0,3.0,6.0,4.0,2.903225806451613,0
2020-08-10,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.2903225806451613,0
2020-08-11,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,1.935483870967742,0
2020-08-12,3.0,11.0,6.0,3.0,3.0,5.0,0.0,3.0,0.0,3.0,3.978494623655914,0
2020-08-13,6.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,3.0,2.150537634408602,0
2020-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-15,10.0,3.0,13.0,6.0,4.0,0.0,0.0,3.0,8.0,3.0,5.376344086021505,0
2020-08-16,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.6451612903225806,0
2020-08-17,6.0,0.0,0.0,3.0,6.0,5.0,7.0,8.0,3.0,9.0,5.053763440860215,0
2020-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-08-19,9.0,3.0,3.0,6.0,7.0,2.0,4.0,8.0,8.0,3.0,5.698924731182796,0
2020-08-20,10.0,3.0,6.0,3.0,3.0,3.0,0.0,3.0,5.0,3.0,4.193548387096774,0
2020-08-21,10.0,3.0,3.0,11.0,14.0,3.0,4.0,0.0,3.0,13.0,6.881720430107527,0
2020-08-22,3.0,3.0,7.0,6.0,4.0,3.0,4.0,3.0,0.0,4.0,3.978494623655914,0
2020-08-23,7.0,12.0,6.0,6.0,4.0,3.0,11.0,6.0,3.0,7.0,6.989247311827957,0
2020-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.6451612903225806,0
2020-08-25,0.0,9.0,6.0,3.0,3.0,2.0,0.0,5.0,0.0,3.0,3.3333333333333335,0
2020-08-26,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.7526881720430108,0
2020-08-27,10.0,6.0,3.0,0.0,7.0,8.0,0.0,3.0,5.0,3.0,4.838709677419355,0
